;a00_cle_idweb;g04_01_date_publication;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_061_criteres_sociaux;g04_062_criteres_environnementaux;g04_09_resume_objet
110;19-143221;2019-09-22;44094;Nantes cedex 1;COMMUNE DE NANTES;['Ascenseur', 'Bardage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Nettoyage de locaux', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Ventilation', 'Voirie et réseaux divers', 'Amiante (désamiantage)'];directive24;joue;attribution;initial;oui;oui;quartier dervallieres-zola extension du groupe scolaire des châtaigniers. Certains lots comportent une prestation d'insertion professionnelle de publics en difficultés.
111;19-143103;2019-09-22;44094;Nantes cedex 1;Nantes Métropole;['Couverture', 'Etanchéité'];directive24;joue;attribution;initial;oui;non;Construction du CT de Bouaye reconsultation du lot 4 : couverture - étanchéité - panneaux photovoltaïques
112;19-143492;2019-09-22;44094;Nantes cedex 1;COMMUNE DE NANTES;['Cuisine (équipement)', 'Electricité (travaux)', 'Fondations spéciales', 'Serrurerie', 'Photovoltaïque'];directive24;joue;attribution;initial;oui;oui;quartier dervallières-zola extension du groupe scolaire des châtaigniers - lots 3, 9, 17 et 19
113;19-142971;2019-09-22;44360;CORDEMAIS;MAIRIE DE CORDEMAIS;['Télésurveillance'];directive24;joue;appeloffre;initial;non;non;Fourniture, mise en oeuvre et maintenance d'un système de vidéo protection urbaine
114;19-143189;2019-09-22;44923;Nantes cedex 9;Nantes Métropole;['Déchets non ménagers (prestations)'];directive24;joue;attribution;initial;non;oui;Traitement des balayures mécaniques de voirie des services de Nantes Métropole
115;19-143169;2019-09-22;44923;Nantes Cedex 9;Nantes Métropole;"[""Assistance à maîtrise d'ouvrage""]";directive24;joue;attribution;initial;non;non;missions de programmation et d'assistance à maîtrise d'ouvrage pour des opérations de bâtiments et ou des opérations mixtes bâtiment-infrastructure
116;19-143466;2019-09-22;45040;Orléans;Ville d'Orléans;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;oui;oui;Nettoyage de locaux de la Ville d'Orléans, d'Orléans Métropole et du Centre Communal d'Action Sociale (Ccas) d'Orléans
117;19-143601;2019-09-22;45041;Orleans;REGION CENTRE VAL DE LOIRE;['Informatique (matériel)'];directive24;joue;attribution;initial;non;non;Equipements Informatiques pour les lycéens de la Région Centre-Val de Loire
118;19-143430;2019-09-22;47150;Monflanquin;CdC des Bastides en Haut Agenais P;['Ordures ménagères (prestations)'];directive24;joue;appeloffre;initial;non;non;Collecte et acheminement des déchets ménagers résiduels 2020-2021
119;19-143399;2019-09-22;49070;Saint Lambert la Potherie;ville de Saint Lambert la Potherie;['Alimentation en eau potable', 'Espaces verts'];directive24;joue;appeloffre;initial;non;non;Relance Appel d'offre- ZAC de Gagné-Saint-Lambert-La-PotherieLot no2- Travaux d'adduction d'eau potableLot no3- Travaux d'aménagement paysagers
120;19-143351;2019-09-22;49420;Ombrée d'Anjou;COMMUNE DE OMBREE D ANJOU;"['Mobilier', ""Oeuvre d'art"", 'Signalisation']";directive24;joue;appeloffre;initial;non;non;Fabrication, fourniture et pose de mobilier et signalétique urbain médiéval
121;19-142999;2019-09-22;50442;La Hague cedex;Commune de la Hague;['Location (matériels)'];autre;joue;rectificatif;rectificatif;non;non;Location de matériels pour la commune de la Hague
122;19-143307;2019-09-22;50490;SAINT-SAUVEUR-LENDELIN;SAINT-SAUVEUR-VILLAGES;['Carburant, hydrocarbure'];directive24;joue;appeloffre;initial;non;non;Fourniture de carburant gasoil et sans plomb 95
123;19-143692;2019-09-22;51000;Châlons-En-Champagne;CA DE CHALONS EN CHAMPAGNE;['Alimentation en eau potable'];directive24;joue;appeloffre;initial;oui;non;Accord-cadre pour la réalisation de travaux sur le réseau d'eau potable
124;19-143308;2019-09-22;52100;SAINT-DIZIER;Ville de Saint-Dizier;['Assurance'];directive24;joue;appeloffre;initial;non;non;Marché de service relatif à la prestation d'assurance pour les besoins du CCAS de Saint-Dizier-.
125;19-143708;2019-09-22;52115;SAINT-DIZIER;CA DE SAINT DIZIER DER ET BLAISE;['Informatique (prestations de services)'];directive24;joue;appeloffre;initial;non;non;Accompagnement de la collectivité au management de transition de la Direction des Systèmes d'Information-.
126;19-143604;2019-09-22;53015;LAVAL;CENTRE HOSPITALIER DE LAVAL;"[""Produits d'entretien""]";directive24;joue;appeloffre;initial;non;non;AO-PRODUITS LESSIVIELS LINGE-2019/62
127;19-143751;2019-09-22;54035;Nancy cedex;CHRU de Nancy;['Matériel médical'];directive24;joue;appeloffre;initial;non;non;Fourniture d'écarteurs chirurgicaux multidisciplinaires, consommables, accessoires et prestations associés
128;19-74547;2019-09-22;54042;Nancy cedex;UNION GEST ETS CAISSE ASSUR MALADIE;['Analyses médicales, biologiques'];directive24;joue;attribution;initial;non;non;Marché concernant la réalisation d'actes de biologie médicales
129;19-143300;2019-09-22;54052;Nancy cedex;Université de Lorraine;['Equipements spécialisés'];directive24;joue;attribution;initial;non;non;Acquisition de portoirs ventilés, d'unités de ventilation et leurs accessoires pour des hébergements de rongeurs pour le centre de coordination animalerie du campus biologie et santé
130;19-143051;2019-09-22;54052;Nancy cedex;Université de Lorraine;['Equipements spécialisés'];directive24;joue;attribution;initial;non;non;Acquisition, livraison, installation, mise en ordre de marche, formation et garantie d'un équipement scientifique de nanotribologie pour l'Université de Lorraine
131;19-143030;2019-09-22;54098;Nancy cedex;SOLOREM;['Etude'];directive24;joue;attribution;initial;non;non;Mission de maîtrise d'oeuvre pour le parachèvement de l'ouvrage (levée des réserves et adaptations fonctionnelles) au Centre des Congrès Prouvé à Nancy
132;19-142989;2019-09-22;54201;TOUL CÉDEX;CC Terres Touloises;['Piscine', 'Ingénierie'];directive24;joue;appeloffre;initial;non;non;MISSION DE MAÎTRISE D'OEUVRE POUR LA RESTRUCTURATION / EXTENSION PARTIELLE DU CENTRE AQUATIQUE COMMUNAUTAIRE OVIVE À ÉCROUVES - MARCHÉ 2019_PN_03
133;19-142996;2019-09-22;54300;LUNEVILLE;O.P.H.L.M. de Lunéville;"['Etude', ""Maîtrise d'oeuvre""]";directive24;joue;appeloffre;initial;non;non;Maîtrise d'oeuvre du plan d'entretien du patrimoine
134;19-143312;2019-09-22;55107;VERDUN Cedex;CH Verdun Saint-Mihiel;['Electricité, gaz (fourniture)'];directive24;joue;appeloffre;initial;non;non;Fourniture d'électricité des sites du GHT Coeur Grand EST en 2020.
135;19-143547;2019-09-22;57036;METZ CEDEX 1;REGION GRAND EST;['Informatique (prestations de services)', 'Site internet'];directive24;joue;appeloffre;initial;non;non;affaire 19c0014 mise en oeuvre et maintenance d'applications mobiles pour la région grand est
136;19-143634;2019-09-22;57044;Metz cedex 01;ESID de Metz;['Bâtiment', 'Chauffage (travaux)'];directive24;joue;appeloffre;initial;oui;oui;BOURSCHEID (Moselle) - Quartier La Horie - 1er RHC - Réhabilitation des VRD - Construction d'une chaufferie
137;19-143493;2019-09-22;57071;Metz;MOSELIS OPH MOSELLE;['Chauffage (matériel)', 'Maintenance', 'Plomberie (travaux)', 'Sanitaire'];directive24;joue;attribution;initial;non;non;Travaux d'entretien et de réparation en plomberie - sanitaire - chauffage
138;19-143248;2019-09-22;57071;Metz;MOSELIS OPH MOSELLE;['Informatique (maintenance serveurs et réseaux)'];directive24;joue;attribution;initial;non;non;Renouvellement du réseau privé virtuel de communication de Moselis avec ces agences et espaces d'accueils réseau Internet (Vpn)
139;19-143591;2019-09-22;57071;Metz;METZ METROPOLE;['Dépollution'];directive24;joue;attribution;initial;non;non;Diagnostics et aide à la gestion des terres polluées sur l'ensemble des zones de Metz Métropole
140;19-143289;2019-09-22;57232;Bitche;Cté Cnes du Pays de Bitche;['Electricité, gaz (fourniture)'];directive24;joue;appeloffre;initial;non;non;Contrat de fourniture d'électricité des points de livraisons sur le territoire de la Communauté de Communes du Pays de Bitche
141;19-143134;2019-09-22;57972;Yutz;COMMUNAUTE AGGLO PORTES DE FRANCE;['Espaces verts', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Entretien des berges et des milieux aquatiques sur les rives des cours d'eau (2 lots)
142;19-143210;2019-09-22;59031;Lille cedex;CCI de région Nord de France;['Abris', 'Etude'];directive24;joue;appeloffre;initial;non;non;ETUDE DES FLUX ET DES COMPORTEMENTS D'ACHAT SUR LE TERRITOIRE DE LA CCI DE REGION HAUTS DE FRANCE
143;19-143442;2019-09-22;59033;Lille cedex;Ville de Lille;"[""Maîtrise d'oeuvre""]";directive24;joue;appeloffre;initial;non;non;Mission de maîtrise d'oeuvre portant sur les travaux de mise hors d'eau et de sécurisation d'élévations des églises du sacré Coeur, Saint Michel et Saint Pierre-Saint Paul à Lille
144;19-143023;2019-09-22;59034;Lille cédex;Voies navigables de France;['Acier', 'Métallurgie'];directive24;joue;appeloffre;initial;non;oui;Fourniture et livraison sur sites de produits de la métallurgie
145;19-143526;2019-09-22;59037;Lille cedex;CHU DE LILLE;['Consommables médicaux'];directive24;joue;appeloffre;initial;non;non;Fourniture de dispositifs médicaux spécifiques au traitement des incontinences urinaires, à l'endo urologie et à la chirurgie gynécologique
146;19-143523;2019-09-22;59043;Lille cedex;DIRECTION DES SERVICES JUDICIAIRES;"[""Maîtrise d'oeuvre"", 'Prestations de services']";directive24;joue;attribution;initial;non;non;DIL2019_MOE_COMBLES_AMIENS
147;19-143386;2019-09-22;59047;Lille;DEPARTEMENT DU NORD;['Matériel de précision'];directive24;joue;attribution;initial;non;non;Accord-cadre de services relative à la fourniture et mise en oeuvre de compteurs dédiés aux cyclistes, piétons et cavaliers
148;19-143270;2019-09-22;59047;Lille;DEPARTEMENT DU NORD;['Prestations de services'];directive24;joue;attribution;initial;non;non;Prestations de services de nettoyage des dépendances des routes départementales et des voies vertes du Département du Nord - 6 lots
149;19-143738;2019-09-22;59200;Tourcoing;Ville de Tourcoing;['Bardage', 'Bâtiment', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Clôture', 'Couverture', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Matériaux de construction', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Serrurerie', 'Ventilation', 'Vitrerie', 'Occultation'];directive24;joue;appeloffre;initial;non;non;Travaux d'entretien, réparation et mise en conformité du patrimoine bâti de la commune 16 corps d'état avec lot A écoles et équipements sportifs, et lot B divers bâtiments du patrimoine, soi
150;19-143649;2019-09-22;59508;Douai cedex;Agence de l'Eau Artois - Picardie;['Etude'];directive24;joue;attribution;initial;non;non;Évaluation d actions de coopération décentralisée financées au Togo par les Agences de l Eau Artois-Picardie, Seine-Normandie et Rhin-Meuse.
151;19-143167;2019-09-22;59831;Lambersart;COMMUNE DE LAMBERSART;['Chauffage (exploitation, entretien)'];directive24;joue;attribution;initial;non;non;Marché de service pour l'exploitation du chauffage et de l'eau chaude sanitaire du patrimoine de la Commune de Lambersart
152;19-142995;2019-09-22;60607;clermont de l'oise;CHI de Clermont;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;mission de commissariat aux comptes pour le centre hospitalier isarien
153;19-143592;2019-09-22;62018;Arras Cedex 9;Conseil départemental du Pas-de-Calais;['Mécanique', 'Pièces détachées'];directive24;joue;attribution;initial;non;non;AOO LVF 19S0261- Fourniture de pièces et réparation pour tracteurs de marque John Deere pour le Service de la Maintenance et Ressources du Réseau Routier (SM3R) - Lot unique
154;19-143395;2019-09-22;62018;Arras cedex 09;Conseil départemental du Pas-de-Calais;"[""Maîtrise d'oeuvre""]";directive24;joue;appeloffre;initial;non;non;concours 19s0514 cbgs - concours de maîtrise d'oeuvre sur esquisse+ pour l'extension avec restructuratioon partielle du collège du pays de l'alloeu
155;19-143250;2019-09-22;62052;Saint-Laurent-Blangy cedex;SDIS 62;['Signalisation', 'Véhicules', 'Véhicules (acquisition)'];directive24;joue;attribution;initial;non;oui;Fourniture de véhicules, matériels roulants et équipements de signalisation pour véhicules
156;19-143241;2019-09-22;62052;saint laurent blangy cedex;SDIS 62;['Consommables médicaux', 'Textile'];directive24;joue;attribution;initial;non;oui;La présente consultation concerne la Fourniture d'accessoires et consommables pour moniteurs et défibrillateurs semi-automatiques (DSA) détenus par le SDIS du Pas-de-Calais.
157;19-143271;2019-09-22;62410;WINGLES;Ville de Wingles;['Titres restaurant'];directive24;joue;appeloffre;initial;non;non;Emission et livraison de titres restaurant au profit des agents de la ville de Wingles
158;19-143073;2019-09-22;62412;Béthune CEDEX;SIVOM COMMUNAUTE DU BETHUNOIS;"['Droguerie', ""Produits d'entretien""]";directive24;joue;attribution;initial;non;non;Attribution du marché 'Fourniture de produits en droguerie, pour l'ensemble des services du SIVOM de la Communauté du Béthunois'.
159;19-143452;2019-09-22;63000;Clermont-ferrand;UNIVERSITE CLERMONT AUVERGNE;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;non;non;Prestations de nettoyage des locaux de l'Université Clermont Auvergne et de Sigma Clermont
160;19-143295;2019-09-22;63007;Clermont-Ferrand;Clermont Auvergne Métropole;['Gardiennage', 'Fourrière'];directive24;joue;attribution;initial;non;non;Gestion technique, administrative et financière de la fourrière automobile communautaire de Clermont Auvergne Métropole
161;19-143296;2019-09-22;63007;Clermont-Ferrand;Ville de Clermont-Ferrand;['Cuisine (équipement)'];directive24;joue;attribution;initial;non;non;Construction du lieu identitaire de la Comédie de Clermont - Scène Nationale Lot 07-B07 équipements de cuisine
162;19-143247;2019-09-22;64000;Pau Cedex;CA PAU BEARN PYRENEES;['Bâtiment', 'Chauffage (travaux)', 'Climatisation', 'Isolation', 'Menuiserie'];directive24;joue;attribution;initial;non;non;Marche Global De Performance Energetique Du Patrimoine Bati
163;19-143480;2019-09-22;65000;Tarbes;VILLE DE TARBES;['Denrées alimentaires'];autre;joue;rectificatif;rectificatif;non;non;Acquisition De Denrees Alimentaires Pour Le Groupement De Commandes Entre La Ville De Tarbes Et Le Ccass De La Ville De Tarbes
164;19-143132;2019-09-22;66000;Perpignan;EPMR;['Restauration collective'];directive24;joue;appeloffre;initial;non;non;FOURNITURE DE REPAS ELABORES EN LIAISON CHAUDE EN GESTION DIRECTE
165;19-143369;2019-09-22;66906;Perpignan;DEPARTEMENT DES PYRENEES-ORIENTALES;['Espaces verts'];directive24;joue;appeloffre;initial;oui;non;Prestations pluriannuelles d'entretien des sites de l'Anse de Paulilles et du Lac de la Raho
166;19-143265;2019-09-22;67013;Strasbourg cedex;SDEA ALSACE MOSELLE;['Matériel électrique', 'Véhicules'];directive24;joue;attribution;initial;non;non;2019F0163MAOOC01
167;19-75140;2019-09-22;67070;Strasbourg Cedex;REGION GRAND EST;['Formation'];directive24;joue;attribution;initial;non;non;Pacte régional d'investissement dans les compétences (PRIC 2019) et nouvelles actions du programme régional de formation (PRF 2019) en faveur des demandeurs d'emploi - relance
168;19-143020;2019-09-22;67076;STRASBOURG CEDEX;Eurométropole de Strasbourg;['Benne', 'Véhicules (acquisition)'];directive24;joue;appeloffre;initial;non;non;Acquisition de cinq châssis poids-lourds 19T GNV cabine basse avec équipement BOM 14m3 environ pour les services de l'Eurométropole de Strasbourg
169;19-143008;2019-09-22;67076;STRASBOURG CEDEX;Eurométropole de Strasbourg;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Accord cadre pour la réalisation de travaux fonciers
170;19-143067;2019-09-22;67076;STRASBOURG CEDEX;VILLE DE STRASBOURG;['Espaces verts'];directive24;joue;appeloffre;initial;non;non;19VDS0085G Prestations d'entretien dans les espaces verts de la Ville et de Strasbourg et de l'Eurométropole de Strasbourg
171;19-143093;2019-09-22;67076;STRASBOURG CEDEX;Eurométropole de Strasbourg;['Voirie'];directive24;joue;appeloffre;initial;non;non;Entretien de voirie des rues et places
172;19-143409;2019-09-22;67091;Strasbourg cedex;HOPITAUX UNIVERSITAIRES DE STRASBOURG;['Produits pharmaceutiques'];directive24;joue;appeloffre;initial;non;oui;FOURNITURE DE SPECIALITES PHARMACEUTIQUES GENERIQUES OU ALTERNATIVES - 2019
173;19-143438;2019-09-22;67129;Molsheim;Ville de MOLSHEIM;['Chauffage (exploitation, entretien)', 'Maintenance'];directive24;joue;attribution;initial;non;non;marché de conduite et d'entretien des chauffages, vmc et climatiseurs des bâtiments communaux
174;19-143358;2019-09-22;67504;Haguenau;CA DE HAGUENAU;['Location (matériels)', 'Produits chimiques'];directive24;joue;appeloffre;initial;non;non;Location, transport et montage de WC autonomes, WC raccordables ou WC PMR
175;19-142977;2019-09-22;68021;Colmar Cedex;VILLE DE COLMAR;['Denrées alimentaires'];directive24;joue;appeloffre;initial;non;non;Accords-cadres à bons de commande pour la fourniture de denrées alimentaires
176;19-143215;2019-09-22;68272;Wittenheim cedex;Ville de Wittenheim;['Espaces verts'];directive24;joue;appeloffre;initial;non;non;Prestation de désherbage écologique de la voirie communale
177;19-128572;2019-09-22;68304;saint-louis cedex;Aéroport de Bâle-Mulhouse;['Prestations de services', 'Transport'];directive25;joue;appeloffre;initial;non;non;transport de passagers par navettes automobiles
178;19-143082;2019-09-22;68948;Mulhouse;Mulhouse Alsace Agglomération;['Bassin, étang', 'Carrelage', 'Charpente', 'Chauffage (travaux)', 'Couverture', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Remembrement (travaux connexes)', 'Serrurerie', 'Ventilation', 'Voirie et réseaux divers', 'Zinguerie'];directive24;joue;appeloffre;initial;oui;non;création d'un espace dit horizon afrique au parc zoologique et botanique
179;19-143363;2019-09-22;69205;Lyon cedex 01;Ville de Lyon;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Assistance à l'Enregistrement et à la Retranscription de Réunions (Aerer 2020-2023)
180;19-143426;2019-09-22;69321;Lyon cedex 05;Voies navigables de France;['Produits chimiques', 'Revêtements muraux'];directive24;joue;attribution;initial;non;non;Fourniture de pierres pour la restauration des murs de soutènement
181;19-143088;2019-09-22;69373;Lyon cedex 08;CHU Lyon;"[""Ouvrage d'infrastructure""]";autre;joue;rectificatif;rectificatif;non;non;E19_0510
182;19-143388;2019-09-22;69373;Lyon Cedex 08;CHU Lyon;['Chambre froide', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;T19_4506
183;19-143404;2019-09-22;69373;Lyon Cedex 08;CHU Lyon;['Produits pharmaceutiques'];directive24;joue;attribution;initial;non;non;UNIHA_2DRES_M1876
184;19-143489;2019-09-22;69400;Villefranche-sur-Saone;CABVS;['Alimentation en eau potable', 'Assainissement'];directive25;joue;attribution;initial;non;non;Travaux de renouvellement et d'extension des réseaux d'eau potable et d'assainissement
185;19-143428;2019-09-22;69419;Lyon cedex 03;Préfecture de la région Rhône-Alpes;['Maintenance'];autre;joue;rectificatif;rectificatif;oui;oui;CVC3Ter_GN_ARA_2019
186;19-143479;2019-09-22;69483;Lyon;DEPARTEMENT DU RHONE;['Logiciel'];autre;joue;rectificatif;rectificatif;non;non;Evolution de l'architecture des réseaux des systèmes d'information du Département du Rhône
187;19-143734;2019-09-22;69487;Lyon;SYTRAL;['Câblage', 'Electricité (travaux)', 'Fibre optique', 'Sécurité incendie'];directive25;joue;appeloffre;initial;non;non;Travaux préparatoires d'automatismes de transmission ligne D préalables à l'opération Avenir Métro
188;19-123601;2019-09-22;69505;Lyon Cedex 03;Métropole de Lyon;"['Etude', 'Prestations de services', ""Assistance à maîtrise d'ouvrage""]";directive24;joue;appeloffre;initial;non;non;animation territoriale et marketing d'un dispositif de covoiturage sur le territoire de la métropole de lyon
189;19-136616;2019-09-22;69505;Lyon Cedex 03;Métropole de Lyon;['Prestations de services'];directive24;joue;appeloffre;initial;non;oui;distribution des documents d'information de la métropole de lyon
190;19-141743;2019-09-22;69505;Lyon cedex 03;Métropole de Lyon;['Maintenance', 'Radar', 'Voirie', 'Formation'];directive24;joue;appeloffre;initial;non;non;Fourniture de matériel de comptages automatiques, maintenance du parc de compteurs et appareils de mesures spécifiques et formation aux métiers des comptages automatiques
191;19-143703;2019-09-22;70006;Vesoul cedex;Conseil général de la Haute-Saône;['Habillement'];directive24;joue;attribution;initial;non;non;Fourniture de vêtements de travail et d'équipements de protection individuelle
192;19-143727;2019-09-22;70007;Vesoul Cedex;COMMUNAUTE D AGGLOMERATION DE VESOUL;['Télécommunications'];directive24;joue;appeloffre;initial;non;non;Prestations de services de télécommunications
193;19-143285;2019-09-22;72072;Le Mans;DEPARTEMENT DE LA SARTHE;['Titres de transport'];directive24;joue;appeloffre;initial;non;non;"Achat De E-Billets De Transports Ferroviaires "" Sncf - Grandes Lignes "", De Billets De Transports Aeriens Et De Prestations Hotelieres Associees"
194;19-143700;2019-09-22;73140;Orelle;COMMUNE D ORELLE;['Transport'];directive24;joue;appeloffre;initial;non;non;APPEL D'OFFRES OUVERT
195;19-143594;2019-09-22;74210;Faverges-Seythenex;COM DE COMMUNES DES SOURCES LAC ANNECY;['Transport', 'Déchetterie (exploitation)'];directive24;joue;appeloffre;initial;non;non;Déchèterie. Transport et traitement des déchets
196;19-143313;2019-09-22;75005;Paris;Agence de mutualisation des université;['Repas, traiteur'];directive24;joue;appeloffre;initial;non;oui;Emission et livraison de Titres-Restaurant pour le compte de l'Amue
197;19-143698;2019-09-22;75007;Paris;Musée du quai Branly-Jacques Chirac;['Informatique (prestations de services)'];autre;joue;rectificatif;rectificatif;non;non;Marché alloti de prestations de traitement documentaire pour la médiathèque du musée du quai Branly-Jacques Chirac
198;19-143462;2019-09-22;75008;Paris;EPPDCSI;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Production d'une oeuvre sonore pour l'exposition Bio-inspirés
199;19-143707;2019-09-22;75008;Paris;Présidence de la République;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;non;non;Nettoyage des locaux et de la vitrerie des bâtiments de la présidence de la République
200;19-143690;2019-09-22;75009;Paris;SOC DE LIVRAISON OUVRAGES OLYMPIQUES;['Bâtiment', 'Démolition'];directive24;joue;appeloffre;initial;non;non;Accord cadre pour la réalisation de travaux de déconstruction et de réemploi des bâtiments et ouvrages de la ZAC village olympique et paralympique
201;19-143437;2019-09-22;75011;Paris;GIP RESAH;['Matériel médical'];autre;joue;rectificatif;rectificatif;non;non;ACQUISITION, LOCATION-MAINTENANCE AVEC ou SANS OPTION D'ACHAT DE SOLUTIONS D'IMAGERIE DE COUPE ET PRESTATIONS ASSOCIEES
202;19-143605;2019-09-22;75012;Paris;EPTB Seine Grands Lacs;['Abris', 'Impression', 'Prestations de services', 'Vidéo, cinéma'];directive24;joue;appeloffre;initial;non;non;Conception, impression et réalisation et montage de vidéos pour la communication
203;19-143503;2019-09-22;75015;Paris;PORT AUTONOME DE PARIS;['Ingénierie'];directive24;joue;appeloffre;initial;non;non;Mission d'assistance à la réalisation de plans de prévention conformément au décret no 92.158 du 20 février 1922
204;19-143584;2019-09-22;75019;Paris;Grand Paris Aménagement;['Etude'];directive24;joue;appeloffre;initial;non;non;accord-cadre amo immbilière et de construction
205;19-143195;2019-09-22;75019;Paris;ANGDM;['Transport'];directive24;joue;appeloffre;initial;non;non;"MARCHE DE TRANSPORTS DE BENEFICAIRES DE SEJOURS DE VACANCES "" SENIORS EN VACANCES """
206;19-143193;2019-09-22;75042;Paris Cedex 01;Ministère de la justice;['Impression', 'Informatique (prestations de services)'];autre;joue;rectificatif;rectificatif;non;non;externalisation de l'éditique du casier judicaire national (rectificatif)
207;19-143458;2019-09-22;75186;Paris Cedex 04;Centre des monuments nationaux;['Mobilier', 'Monuments historiques', 'Equipement muséographique'];directive24;joue;attribution;initial;non;non;prestations d'aménagements du centre d'interprétation de montmaurin (31)
208;19-143151;2019-09-22;75186;Paris;Centre des monuments nationaux;['Monuments historiques', 'Textile'];directive24;joue;attribution;initial;non;non;Lot fourniture de tissus pour l'Hotel de la Marine
209;19-143186;2019-09-22;75186;Paris;Centre des monuments nationaux;['Monuments historiques', 'Surveillance', 'Sécurité incendie'];directive24;joue;appeloffre;initial;non;non;prestation de sécurité incendie et prévention des établissements recevant du public de l'abbaye du mont-saint-michel
210;19-143329;2019-09-22;75191;Paris;Centre Pompidou;['Informatique (prestations de services)'];directive24;joue;appeloffre;initial;non;non;Accord-cadre d'assistance à l'installation et à l'utilisation des logiciels AUTODESK et BLUECIELO et à la saisie de données architecturales
211;19-143149;2019-09-22;75191;Paris;Centre Pompidou;['Prestations de services'];autre;joue;rectificatif;rectificatif;non;non;1908031 - Transport, manutention, conditionnement d'oeuvres d'art et montage, démontage et maintenance des expositions
212;19-142136;2019-09-22;75355;PARIS 07 SP;Assemblée Nationale;['Maintenance', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Maintenance spécialisée des motorisations et des équipements associés de génie climatique (accord-cadre 2019AN-10)
213;19-143598;2019-09-22;75509;Paris cedex 15;ministère de la défense;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Conception et aménagement 'clé en main' du stand Défense à l'occasion du salon international Eurosatory 2020
214;19-143645;2019-09-22;75509;Paris;MINDEF/SGA/SPAC/S-Direction des achats;['Prestations de services'];autre;joue;rectificatif;rectificatif;non;oui;Réservation de berceaux
215;19-143418;2019-09-22;75639;Paris cedex 13;Ville de Paris;['Assainissement'];autre;joue;rectificatif;rectificatif;non;non;Travaux de réhabilitation de branchements particuliers du réseau d'assainissement de la Ville de Paris, en trois lots séparés
216;19-143316;2019-09-22;75646;Paris cedex 13;METROPOLE DU GRAND PARIS;['Prestations de services', 'Ingénierie'];directive24;joue;appeloffre;initial;oui;non;Mission de concertation relatives aux projets de la Plaine Saulnier en phase olympique
217;19-137729;2019-09-22;75654;Paris;Inserm - Administration du Siège;['Informatique (prestations de services)'];directive24;joue;appeloffre;initial;non;non;infogérance des systèmes d'information relatifs aux certificats de décès
218;19-143027;2019-09-22;75680;Paris cedex14;CCCA-BTP;['Formation'];directive24;joue;appeloffre;initial;non;non;Formation de formateurs et d'administratifs (référents) à la pédagogie et administration d''actions de formation en situation de travail' (AFEST)
219;19-143318;2019-09-22;75685;Paris;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;['Prestations de services'];autre;joue;rectificatif;rectificatif;non;non;Titres restaurant pour les agents de l'Inrap
220;19-143102;2019-09-22;75706;Paris Cedex 13;Bibliothèque nationale de France;['Surveillance'];directive24;joue;attribution;initial;non;non;Surveillance quotidienne de la presse écrite nationale, européenne et internationale ainsi que de la presse audiovisuelle pour tout article et information concernant la BnF
221;19-143654;2019-09-22;75732;Paris cedex 15;OFII;['Abris', 'Impression'];directive24;joue;appeloffre;initial;oui;oui;Prestations d'édition, d'impression, de reprographie de documents sur tous supports et de fabrication de chemises à rabats en carte imprimée, ainsi que leur routage
222;19-143742;2019-09-22;75927;Paris cedex 19;SPL Paris et Métropole aménagement;['Prestations de services'];directive24;joue;appeloffre;initial;oui;non;Accord-cadre à bons de commande portant sur une mission de géomètre-expert sur la ZAC Gare des Mines-Fillettes à Paris 18ème
223;19-143512;2019-09-22;76036;Rouen cedex;PREFECTURE NORMANDIE;['Bâtiment'];directive24;joue;appeloffre;initial;non;oui;Travaux d'entretien courant des bâtiments des services de l'Etat et des établissements publics en région Normandie
224;19-143710;2019-09-22;76101;Rouen Cedex;Département de Seine-Maritime;['Assistance juridique'];directive24;joue;appeloffre;initial;non;non;Prestations de services juridiques
