index,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
85,20-158527,2020-12-29,2021-01-25,['63'],Numéro de la consultation : 2020-SCO-0045 Travaux de réhabilitation du bâtiment d'accueil et du bâtiment tribunes sur le site du Circuit de Charade (ERP),fns,cmp2006,appeloffre,initial,DEPARTEMENT DU PUY DE DOME,63033,Clermont-Ferrand,,['Gros oeuvre'],[144],non,non
86,20-158646,2020-12-29,2021-01-26,"['67', '57', '68']",Consultant pour assistance et accompagnement au projet d'entreprise de la CARSAT Alsace Moselle,mapa,cmp2006,appeloffre,initial,CARSAT Alsace-Moselle,67011,Strasbourg cedex 1,,['Prestations de services'],[274],non,non
87,20-158835,2020-12-29,2021-03-28,['69'],Assistance à maîtrise d'ouvrage pour le pilotage des systèmes d'information Eau Potable,fns,cmp2006,attribution,initial,Métropole de Lyon,69505,LYON,"[('2020-12-22', 'INTERFACES SOLUTIONS', (420000, 'EUR'), None)]","['Alimentation en eau potable', ""Assistance à maîtrise d'ouvrage""]","[6, 433]",non,non
88,20-158406,2020-12-29,2021-03-01,['69'],projet de recyclerie culturelle et artistique dans la métropole de lyon - etude des besoins des acteurs culturels,mapa,cmp2006,attribution,initial,Métropole de Lyon,69505,LYON CEDEX 03,,['Etude'],[118],non,non
89,20-158764,2020-12-29,2021-01-31,['69'],"Le présent marché a pour objet la mise en place d'un système intégré de gestion, de réservation etde programmation des ressources scientifiques et techniques mutualisées au Cerema, ainsi que des",fns,cmp2006,attribution,initial,Cerema,69674,Bron,"[('2020-11-04', 'Art sur le web', (109060, 'EUR'), None)]",['Logiciel'],[186],non,non
90,20-158744,2020-12-29,2021-01-31,['2'],Le présent marché a pour objet les travaux de réfection de la couverture du hangar avec matériauxamiantés du site de St Quentin.,fns,cmp2006,attribution,initial,Cerema,69674,Bron,"[('2020-11-06', 'Europamiante', (134951.8, 'EUR'), None)]",['Travaux de viabilité'],[353],non,non
91,20-158785,2020-12-29,2021-01-22,['72'],"Location-entretien d'articles textiles, fongibles, affectés ou personnaliséspour l'EHPAD 'Les Trois Vallées' et FPA 'le Plessis'Durée 24 mois (2021 à 2022)",fns,cmp2006,appeloffre,initial,CCAS coulaines,72190,COULAINES,,['Location (matériels)'],[185],non,non
92,20-158483,2020-12-29,2021-01-20,['73'],location en tranche ferme d'un autobus urbain hybride de 10 mètres pour une durée de 6 ans,fns,cmp2006,appeloffre,rectificatif,Commune des Avanchers Valmorel,73260,Les Avanchers Valmorel,,['Véhicules (location)'],[474],non,non
93,20-158796,2020-12-29,2021-01-25,['74'],Marché de construction du siège de la CCVT et de la Maison de Services au Public et de la Maison des Associations à Thônes,fns,cmp2006,appeloffre,initial,Cté de Cnes des Vallées de Thônes,74230,THÔNES,,"['Métallerie', 'Serrurerie', 'Porte automatique, portail']","[223, 321, 412]",non,non
94,20-158637,2020-12-29,2021-01-22,['74'],Fourniture de produits d'entretien,fns,cmp2006,appeloffre,initial,COMMUNE DE CLUSES,74302,CLUSES Cedex,,"[""Produits d'entretien""]",[278],non,non
95,20-158690,2020-12-29,2021-01-29,"['75', '77', '78', '91', '92', '93', '94', '95']",relocalisation du cnap et d'une partie des réserves du mn à pantin,fns,cmp2006,appeloffre,rectificatif,OPPIC,75013,Paris,,"['Ascenseur', 'Charpente', 'Couverture', 'Espaces verts', 'Menuiserie', 'Mobilier', 'Peinture (travaux)', 'Voirie et réseaux divers']","[17, 57, 74, 116, 222, 230, 264, 366]",non,non
96,20-158626,2020-12-29,2021-01-29,['75'],Chantier des collections portant sur des oeuvres du département des antiquités orientales du musée du Louvre conservées dans une réserve au sein du jardin des tuileries,fns,cmp2006,attribution,initial,Musée du Louvre,75058,Paris cedex 01,"[('2020-11-24', 'Groupement Nollinger', (331415.5, 'EUR'), None)]","[""Oeuvre d'art""]",[247],non,non
97,20-158750,2020-12-29,2021-01-31,['75'],Le présent marché a pour objet l'organisation et la réalisation d'une opération électorale destinée au renouvellement partiel des membres du Conseil d'Administration de la CARCDSF.,mapa,cmp2006,attribution,initial,CARCDSF,75381,Paris cedex 08,,['Edition'],[104],non,non
98,20-158806,2020-12-29,2021-01-31,['75'],Le présent marché a pour objet la location et la maintenance de photocopieurs et d'imprimantes d'exploitation.,mapa,cmp2006,attribution,initial,CARCDSF,75381,Paris cedex 08,,['Informatique (matériel)'],[162],non,non
99,20-158659,2020-12-29,2021-01-19,"['75', '77', '78', '91', '92', '93', '94', '95']","Maintenance des alarmes anti-agression, appels malade, accès et interphonieCTR 21-001",fns,cmp2006,appeloffre,initial,Centre hospitalier Sainte-Anne,75674,Paris cedex 14,,"['Alarme', 'Surveillance']","[5, 331]",non,non
100,20-158473,2020-12-29,2021-01-31,['76'],Etudes de programmation pour l'extension du bâtiment Martainville Pavillon Mère et Enfant - CHU Rouen Normandie,fns,cmp2006,attribution,initial,CHU-Hôpitaux de Rouen,76031,Rouen cedex,"[('2020-10-19', 'ANAGRAMME CONSEIL', (55100, 'EUR'), None)]",['Etude'],[118],non,non
101,20-158812,2020-12-29,2021-01-31,['76'],Fourniture de carburant au moyen de cartes accréditives pour le parc automobile municipal,fns,cmp2006,attribution,initial,Ville de Bolbec,76210,Bolbec,,"['Carburant, hydrocarbure']",[52],non,non
102,20-27748,2020-12-29,2021-01-31,['76'],dsp sous forme d'affermage relative à la gestion d'un multi-accueil nommé 'comme 3 pommes',dsp,dsp,intentionconclure,initial,ccas terres-de-caux,76640,Terres-de-caux,[],['Délégation de service public'],[406],non,non
103,20-158668,2020-12-29,2021-02-03,['77'],Mission d'assistance à l'élaboration du plan climat air énergie territorial (PCAET),fns,cmp2006,appeloffre,initial,CA DU PAYS DE MEAUX,77100,Meaux,,['Ingénierie'],[455],non,non
104,20-158817,2020-12-29,2021-03-01,['77'],Travaux ponctuels de voirie - Années 2020 - 2024,fns,cmp2006,attribution,initial,Ville de Pontault-Combault,77347,PONTAULT COMBAULT CEDEX,"[('2020-12-21', 'TP 2000 / ALPHA TP', (2400000.0, 'EUR'), None)]",['Voirie'],[365],non,non
105,20-158775,2020-12-29,2021-01-28,['80'],Aménagement d'un vestiaire - 6 chaussée de Rouvroy 80100 ABBEVILLE,fns,cmp2006,appeloffre,initial,CA Baie de Somme,80100,Abbeville,,"['Bardage', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', ""Tous corps d'état""]","[30, 105, 144, 222, 269, 270, 308, 345]",non,non
106,20-158636,2020-12-29,2021-03-28,['82'],Acquisition d'un tracteur équipé d'un chargeur et avec une reprise d'un tracteur,mapa,cmp2006,attribution,initial,Ville de St Etienne de Tulmont,82410,SAINT ETIENNE DE TULMONT,,['Véhicules (acquisition)'],[475],non,non
107,20-158588,2020-12-29,2021-03-28,['87'],"Enlèvement, transport et traitement de déchets à risque chimiques et non chimiques - Relance",mapa,cmp2006,attribution,initial,COMMUNE DE LIMOGES,87031,LIMOGES CEDEX 1,,['Déchets non ménagers (prestations)'],[404],non,non
108,20-158781,2020-12-29,2021-01-19,['91'],Numéro de la consultation:20-020000000 Mission de maîtrise d'oeuvre et missions complémentaires pour les travaux de réhabilitation de l'ovoïde d'eaux pluviales et prestations annexes,fns,cmp2006,appeloffre,initial,SIARCE,91100,Corbeil-Essonnes,,"[""Maîtrise d'oeuvre"", 'Ingénierie']","[197, 455]",non,non
109,20-158523,2020-12-29,2021-01-29,['91'],Marché de service d'insertion et de qualification professionnelle pour la réalisation de prestations d'entretien d'espaces publics et de bâtiment de la commune de Viry-ChatillonEn vert,fns,cmp2006,attribution,initial,COMMUNE DE VIRY CHATILLON,91178,Viry-chatillon cedex,,['Prestations de services'],[274],oui,non
110,20-158753,2020-12-29,2021-03-28,['92'],"MISSION D'ASSISTANCE A LA MISE EN OEUVRE DE MODES DE GESTION DELEGUEE POUR L'EXPLOITATION ET LA GESTION DE DEUX CENTRES AQUATIQUES, DE DEUX PARKINGS ET D'UN RESTAURANT",fns,cmp2006,attribution,initial,Cons. Départ. des Hauts-de-Seine,92000,Nanterre,"[('2020-04-03', ""Groupement ESPELIA / ASTORIA CABINET D'AVOCATS"", (205806.25, 'EUR'), None)]","[""Assistance à maîtrise d'ouvrage""]",[433],non,non
111,20-158509,2020-12-29,2021-03-01,['92'],"Le présent marché a pour objet l'achat d'un véhicule poids lourd neuf, équipé d'un bras de levage, d'une benne et d'une cuve pour les besoins des services de la ville de Meudo",fns,cmp2006,attribution,initial,Ville de Meudon,92195,Meudon cedex,"[('2020-12-16', 'MAN TRUCK & BUS France SAS', (57990.0, 'EUR'), None)]",['Véhicules (acquisition)'],[475],non,non
112,20-158649,2020-12-29,2021-03-28,['93'],Prestations de contrôles techniques automobiles réglementaires pour les véhicules de tourisme et les véhicules utilitaires de moins de 3.5 tonnes du Conseil départemental de la Seine-Saint-Denis,fns,cmp2006,attribution,initial,DEPARTEMENT DE LA SEINE SAINT DENIS,93000,BOBIGNY,"[('2020-11-30', 'CENTRE AUTO BILAN MONTREUIL', (90000, 'EUR'), None)]","['Mécanique', 'Prestations de services', 'Véhicules (location)']","[221, 274, 474]",non,non
113,20-158583,2020-12-29,2021-01-29,"['93', '75', '92', '94']","Accompagnement au déploiement de la solution PIX visant au diagnostic, au développement et à la valorisation des compétences numériques des agents du Régime général de la Sécurité sociale.",fns,cmp2006,appeloffre,initial,UCANSS,93100,Montreuil,,['Assistance technique'],[19],non,non
114,20-158559,2020-12-29,2021-01-29,['93'],Entretien des terrains et des grands jeux de la ville de Bondy.,fns,cmp2006,attribution,initial,COMMUNE DE BONDY,93143,Bondy,,['Equipement sportif'],[113],oui,oui
115,20-157423,2020-12-29,2021-01-18,['93'],accord-cadre de services d'insertion par l'activité économique.,fns,cmp2006,appeloffre,initial,OPH Plaine Commune Habitat,93200,Saint-Denis,,"['Dératisation, désinsectisation']",[89],oui,non
116,20-158824,2020-12-29,2021-01-29,"['93', '94']","Le présent marché a pour objet la passation d'un marché de prestations de médecine professionnelle et préventive, d'hygiène et de sécurité, au bénéfice des agents de la commune de Neuilly-Pl",fns,cmp2006,appeloffre,initial,COMMUNE DE NEUILLY PLAISANCE,93360,Neuilly-plaisance,,['Prestations de services'],[274],non,non
117,20-158705,2020-12-29,2021-01-22,['93'],Maintenance ascenseurs,fns,cmp2006,appeloffre,initial,ville de Clichy-sous-bois,93390,Clichy-sous-Bois,,['Prestations de services'],[274],non,non
118,20-152800,2020-12-29,2021-01-27,['93'],prestations de conseil juridique et de représentation de franceagrimer en justice,mapa,cmp2006,appeloffre,initial,FranceAgriMer,93555,Montreuil cedex,,['Assistance juridique'],[434],non,non
119,20-158622,2020-12-29,2021-01-15,['93'],"La présente consultation concerne la mise en place et l'entretien d'assainisseurs d'air et de réceptacles hygiéniques dans les différents locaux de la Ville, pour l'année 2021/2022",fns,cmp2006,appeloffre,initial,Ville d'Aulnay-sous-Bois,93600,Aulnay sous bois,,['Assainissement'],[18],non,non
120,20-158845,2020-12-29,2021-02-01,"['94', '77', '93']","Entretien, dépannage et prestations neuves sur les chaudières murales et assimilées installées dans les bâtiments de la ville et du CCAS de Nogent-sur-Marne.",fns,cmp2006,appeloffre,initial,Ville de Nogent sur Marne,94130,Nogent-sur-marne,,"['Chauffage (exploitation, entretien)', 'Maintenance', 'Prestations de services']","[59, 196, 274]",non,oui
121,20-158575,2020-12-29,2021-02-28,['95'],Grosses réparations du PS RD392 - A15. Commune d'Herblay sur Seine,fns,cmp2006,attribution,initial,Conseil général du Val d'Oise,95032,Cergy pontoise cedex,"[('2020-10-12', 'AEVIA France NORD', (790068, 'EUR'), None)]",['Voirie'],[365],non,non
122,20-158702,2020-12-29,2021-03-01,['95'],Marché de service de restauration scolaire,fns,cmp2006,attribution,initial,Ville de Cormeilles en Parisis,95240,Cormeilles-en-Parisis,,['Restauration collective'],[66],non,non
123,20-158708,2020-12-29,2021-01-29,['971'],Pose d'une protection cathodique sur le rideau de palplanches du Canal de Saint-Jean,fns,cmp2006,attribution,initial,Collectivité de Saint-Barthélemy,97098,Saint-barthelemy,"[('2020-12-10', ""Groupement d'entreprises : SAS VINCI CONSTRUCTION / BAC CORROSION"", (108340.0, 'EUR'), None)]",['Palplanches'],[260],non,non
124,20-158077,2020-12-29,2021-01-25,['971'],FOURNITURE ET LIVRAISON DE TITRES RESTAURANT AU BENEFICE DES AGENTS DE LA COLLECTIVITE DE MORNE-A-L'EAU,joue,directive24,attribution,initial,Ville de Morne à L'Eau,97111,Morne à l'Eau,"[('2020-12-23', 'EDENRED', (1600000, 'EUR'), ""la fourniture et la livraison de titres-restaurant, conformément à la législation en vigueur, à destination des agents travaillant à la collectivité de Morne-à-l'Eau."")]",['Titres restaurant'],[416],non,non
125,20-158731,2020-12-29,2021-02-02,['972'],"Propreté des locaux et vitrerie, équipements et approvisionnement en consommables sanitaires sur les sites de la CGSSM",fns,cmp2006,appeloffre,initial,CGSSM,97210,Lamentin cedex 2,,['Nettoyage de locaux'],[239],non,non
126,20-158733,2020-12-29,2021-03-28,['973'],Construction de la tranche 5 du collège de Papaïchton,fns,cmp2006,attribution,initial,COLLECTIVITE TERRITORIALE DE GUYANE,97307,CAYENNE,,['Remembrement (travaux connexes)'],[303],non,non
127,20-154765,2020-12-29,2021-02-01,['974'],mission de maîtrise d'oeuvre partielle en vue de la réalisation de travaux de modernisation de la zone d'activité des grègues sur la commune de saint joseph,fns,cmp2006,appeloffre,initial,Communauté d'Agglomération du Sud,97838,Tampon Cedex Reunion,,"[""Maîtrise d'oeuvre""]",[197],non,non
