a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-144553,2019-09-24,2019-10-29,['19'],Brive la gaillarde (19) - caserne laporte - 126ème r;i; - Bâtiment 0012 - réhabilitation second oeuvre du bâtiment 0012,fns,cmp2006,appeloffre,initial,MINDEF/SGA/DCSID/ESID Bordeaux,33068,Bordeaux cedex,"[""Tous corps d'état""]",[345],non,non
19-145188,2019-09-24,2019-10-17,['33'],RD 671 Commune de Sauveterre de guyenne - Pont de Sandah - Arasement de l'ouvrage pour mise en oeuvre d'une dalle de répartition. Réf.1880,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE LA GIRONDE,33074,Bordeaux,['Voirie'],[365],non,non
19-145068,2019-09-24,2019-12-22,['33'],RD 672 -P.R. 53+450 au P.R. 53+650 - Commune Le Pian sur Garonne - Aménagement d'un carrefour giratoire avec la RD no672e4 - (0+000 au 0+080)- Réf.1881,fns,cmp2006,attribution,initial,DEPARTEMENT DE LA GIRONDE,33074,Bordeaux,['Voirie'],[365],non,non
19-144897,2019-09-24,2019-11-24,['33'],Gestion de la fourrière automobile sur le territoire de la ville de Langon,dsp,autre,attribution,initial,Mairie de Langon,33210,Langon,['Fourrière'],[451],non,non
19-143894,2019-09-24,2019-10-23,['33'],missions d'études liées à la reconnaissance des systèmes d'endiguement sur le garonne girondine:,joue,directive24,attribution,initial,Communauté de communes Sud Gironde,33213,Langon cedex,['Ingénierie'],[455],non,non
19-145022,2019-09-24,2019-10-18,['33'],travaux de couverture du lycée agir,mapa,cmp2006,appeloffre,initial,Ville de Pauillac,33250,Pauillac,['Couverture'],[74],non,non
19-145124,2019-09-24,2019-10-17,['33'],La présente consultation concerne les prestations de ventes aux enchères par voie électronique en ligne.,mapa,cmp2006,appeloffre,initial,COM AGL BSN ARCACHON SUD POLE ATLANTIQ,33311,Arcachon cedex,['Site internet'],[171],non,non
19-145002,2019-09-24,2019-10-25,['33'],Location et maintenance de photocopieurs,fns,cmp2006,appeloffre,initial,Ville d'Arcachon,33311,ARCACHON Cedex,"['Impression', 'Location (matériels)']","[160, 185]",non,non
19-145016,2019-09-24,2019-10-15,['33'],Prise en charge d'animaux errants ou morts sur le territoire de la ville de Talence - années 2020 à 2022,fns,cmp2006,appeloffre,initial,Mairie de Talence,33401,Talence cedex,['Animaux'],[9],non,non
19-142543,2019-09-24,2019-10-23,['33'],SERVICE D'IMPRESSION POUR LA VILLE DE GUJAN-MESTRAS 2019,mapa,cmp2006,attribution,initial,VILLE DE GUJAN MESTRAS,33470,Gujan-mestras,['Impression'],[160],non,non
19-144840,2019-09-24,2019-10-15,['33'],19.27 - ecole maternelle de garderose - réfection des menuiseries extérieures,mapa,cmp2006,appeloffre,initial,COMMUNE DE LIBOURNE,33505,LIBOURNE CEDEX,"['Menuiserie', 'Serrurerie']","[222, 321]",non,non
19-144753,2019-09-24,2019-10-15,['33'],Remplacement des chaudières et création d'une VMC sur 10 appartements,mapa,cmp2006,appeloffre,initial,SOC NATIONALE IMMOBILIERE,33525,Bruges,['Chauffage (travaux)'],[61],non,non
19-145129,2019-09-24,2019-11-05,['34'],achat de prestations d'encadrement médical en santé au travail,mapa,cmp2006,appeloffre,initial,CDG 34,34184,Montpellier cedex 4,['Prestations de services'],[274],non,non
19-144745,2019-09-24,2019-10-15,['34'],"Fournitures de bureau, papiers d'impression et consommables informatiques COGITIS, Montpellier",mapa,cmp2006,appeloffre,initial,COGITIS Syndicat mixte,34193,Montpellier cedex 5,"['Consommables informatiques', 'Papeterie']","[68, 262]",non,non
19-144539,2019-09-24,2019-10-11,['34'],19POR34 - Acquisition d'un silo orbital pour stockage de glace pour le Port de plaisance de Palavas les Flots,fns,cmp2006,appeloffre,initial,COMMUNE DE PALAVAS LES FLOTS,34250,PALAVAS LES FLOTS,['Installation portuaire'],[165],non,non
19-144718,2019-09-24,2019-12-22,['34'],Maintenance et dépannage des fermetures et automatismes des bâtiments communaux de la ville de La Grande Motte et travaux associés,mapa,cmp2006,attribution,initial,COMMUNE DE LA GRANDE MOTTE,34280,LA GRANDE MOTTE,"['Maintenance', 'Porte automatique, portail']","[196, 412]",non,non
19-144942,2019-09-24,2019-10-22,"['34', '30']",Etude de positionnement et de redimensionnement pour l'écoparc de Lunel,fns,cmp2006,appeloffre,initial,Communauté de Communes Pays de Lunel,34400,Lunel,['Etude'],[118],non,non
19-144658,2019-09-24,2019-10-10,['34'],"Mise en page, réalisation graphique et impression de supports de communication.",fns,cmp2006,appeloffre,rectificatif,COMMUNE DE LUNEL,34403,Lunel cedex,['Impression'],[160],non,non
19-144545,2019-09-24,2019-10-15,"['34', '30']",Accord cadre à bons de commande pour une assistance technique et de conseil dans le domaine hydraulique,fns,cmp2006,appeloffre,initial,COMMUNE DE LUNEL,34403,Lunel cedex,['Etude'],[118],non,non
19-143348,2019-09-24,2019-10-30,['35'],"organisation et gestion du cle, teen's, espace jeune et prestataire tap",joue,directive24,appeloffre,initial,COMMUNE DE MONTGERMONT,35000,MONTGERMONT,['Prestations de services'],[274],non,oui
19-144526,2019-09-24,2019-10-15,['35'],Mission d'assistance à maitrise d'ouvrage - accompagnement d'actions de sensibilisation biodiversité,mapa,cmp2006,appeloffre,initial,Ville de Rennes,35031,RENNES CEDEX,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
19-144651,2019-09-24,2019-11-23,['35'],"Exploitation et maintenance des installations de chauffage, ventilation, climatisation, de froid et d'électricité",fns,cmp2006,attribution,initial,FACULTE DES METIERS,35170,Bruz,"['Chauffage (exploitation, entretien)']",[59],non,non
19-144550,2019-09-24,2019-11-24,"['35', '22', '44', '50', '53']",Travaux de réhabilitation du réseau d'évacuation des eaux usées de l'Ecole Nationale de Police de Saint-Malo (35).,fns,cmp2006,appeloffre,initial,SEC GAL POUR L ADM MIN INTERIEUR OUEST,35207,Rennes cedex 2,"['Assainissement', 'Canalisations', 'Voirie et réseaux divers']","[18, 48, 366]",non,non
19-144556,2019-09-24,2019-10-11,['35'],délégation de service public pour l'exploitation du service d'assainissement collectif de la commune de saint méen le grand,dsp,dsp,attribution,initial,Commune de Saint Méen le Grand,35290,SAINT MEEN LE GRAND,"['Assainissement', 'Délégation de service public']","[18, 406]",non,non
19-144591,2019-09-24,2019-10-15,"['36', '72', '93', '78', '18', '44', '75', '45', '49']",Acquisition d'engins de levage au profit du COMSOPGN et de ses unités opérationnelles,fns,cmp2006,appeloffre,initial,COMSOPGN,36300,Le blanc,"['Appareil élévateur', 'Manutention']","[11, 237]",non,non
19-144812,2019-09-24,2019-10-16,['37'],Remplacement des diffuseurs à membrane pour l'aération du bassin biologique no10 de la station d'épuration de la Grange David,fns,cmp2006,appeloffre,initial,Tours Métropole Val de Loire,37206,TOURS CEDEX 3,"['Assainissement', ""Station d'épuration (exploitation)""]","[18, 335]",non,non
19-145166,2019-09-24,2019-10-28,['44'],"PRESTATION DE QUALIFICATION OPERATIONNELLE DES ZONES A ATMOSPHERE CONTROLEE ET DE LA SALLE DE CRYOGENIE, DES POSTES DE SECURITE MICROBIOLOGIQUE ET DES RESEAUX DE GAZ DE L'ATLANTIC BIO GMP A SAINT",fns,cmp2006,appeloffre,initial,Etablissement Français du Sang,37206,Tours cedex 3,"['Contrôle technique', 'Prestations de services']","[72, 274]",non,non
19-145060,2019-09-24,2019-10-30,['37'],Diagnostic amont et plan d'action pour la réduction des micropolluants sur le bassin de la station de La Grange DAVID (rectificatif),mapa,cmp2006,appeloffre,rectificatif,Tours Métropole Val de Loire,37206,TOURS CEDEX 3,"['Assainissement', 'Etude']","[18, 118]",non,non
19-145122,2019-09-24,2019-10-19,['37'],TRAVAUX DE SECURITE INCENDIE DANS LES BATIMENTS DE LA VILLE DE TOURS,fns,cmp2006,appeloffre,initial,Ville de Tours,37926,Tours cedex 9,['Bâtiment'],[33],non,non
19-145190,2019-09-24,2019-10-18,['38'],Mise sous plis et adressage des documents électoraux en vue des élections muncipales de mars 2020,mapa,cmp2006,appeloffre,initial,COMMUNE DE GRENOBLE,38021,GRENOBLE,['Conditionnement'],[67],non,non
19-144830,2019-09-24,2019-10-16,['38'],réfection des façades des bâtiments de l'Assurance maladie de l'Isère,fns,cmp2006,appeloffre,initial,CAISSE PRIMAIRE D ASSUR MALADIE ISERE,38045,Grenoble,"['Bâtiment', 'Ravalement']","[33, 299]",non,oui
19-144672,2019-09-24,2019-10-24,['40'],Etude d'aménagement de la RD 71 dans la traversée du Marais d'Orx,fns,cmp2006,appeloffre,initial,Communauté de Communes MACS,40231,saint vincent de tyrosse cedex,['Etude'],[118],non,non
19-145177,2019-09-24,2019-10-15,['40'],FOURNITURE DE TERREAU ET ENGRAIS,fns,cmp2006,appeloffre,initial,COMMUNE DE BISCARROSSE,40601,Bicarrosse cedex,"['Espaces verts', 'Minéraux divers']","[116, 228]",non,non
19-144945,2019-09-24,2019-10-18,['42'],DTE-EM 2019-31 Prestation de dosimétrie online et support à distance,mapa,cmp2006,appeloffre,initial,CHU SAINT ETIENNE,42055,Saint etienne cedex 02,['Prestations de services'],[274],non,non
19-144720,2019-09-24,2019-10-16,['42'],Renouvellement de la station d'épuration du hameau de Garambeau sur la commune de Noailly( consultation relancée après déclaration sans suite),fns,cmp2006,appeloffre,initial,Roannais Agglomération,42311,ROANNE,"['Assainissement', ""Station d'épuration (travaux)""]","[18, 328]",non,non
19-145076,2019-09-24,2019-10-16,['42'],Fouilles archéologiques préventives en vue de l'aménagement du parc de Sainte-Eugénie-Les Thermes,fns,cmp2006,appeloffre,initial,Ville de Montbrison,42605,Montbrison,['Fouille archéologique'],[450],non,non
19-145099,2019-09-24,2019-10-29,['44'],Acquisition d'une chambre à hypoxie,mapa,cmp2006,appeloffre,initial,Université de Nantes,44035,Nantes cedex 1,['Laboratoire (matériel)'],[188],non,non
19-145034,2019-09-24,2019-10-24,['44'],Travaux de traitement des eaux de ruissellement du viaduc du Hâvre sur la commune de Oudon,fns,cmp2006,appeloffre,initial,Conseil départemental Loire-Atlantique,44041,NANTES,"[""Ouvrage d'art"", 'Rivières/ruisseaux']","[252, 310]",non,non
19-144991,2019-09-24,2019-11-12,['44'],Le présent accord cadre concerne la réalisation de prises de vues photographiques,fns,cmp2006,appeloffre,initial,GPM de Nantes - St Nazaire,44186,Nantes,['Prestations de services'],[274],non,non
19-144858,2019-09-24,2019-11-04,['44'],Le présent accord cadre concerne l'installation et l'exploitation d'appareils de distribution automatique de boissons chaudes et fraîches ainsi que de fontaines à eau sur réseau ou en b,fns,cmp2006,appeloffre,initial,GPM de Nantes - St Nazaire,44186,Nantes,['Mobilier'],[230],non,non
19-145033,2019-09-24,2019-10-11,['44'],Fourniture d'échelles portables et de pièces détachées pour les besoins du Service Départemental d'Incendie et de Secours de Loire-Atlantique.,fns,cmp2006,appeloffre,rectificatif,SDIS 44,44243,La chapelle sur erdre,"[""Matériel de secours et d'incendie""]",[217],non,non
19-144888,2019-09-24,2019-10-31,['44'],Construction de boxes équins : Relance des lots infructueux,fns,cmp2006,appeloffre,initial,ONIRIS,44307,Nantes,"[""Tous corps d'état""]",[345],non,non
19-144737,2019-09-24,2019-12-05,"['49', '44', '53', '72']",Réhabilitation de la Cité Universitaire Lakanal à Angers,fns,cmp2006,appeloffre,initial,CROUS de Nantes,44322,Nantes cedex 3,['Gros oeuvre'],[144],non,non
19-144767,2019-09-24,2019-10-22,['44'],Réalisation d'une centrale photovoltaïque en autoconsommation en couverture de la salle de la Gagnerie à Bouguenais,fns,cmp2006,appeloffre,initial,Ville de Bouguenais,44341,BOUGUENAIS CEDEX,['Photovoltaïque'],[476],non,non
19-144520,2019-09-24,2019-10-18,['44'],Brains: aménagement des rues de la guerche et du coteau,fns,cmp2006,appeloffre,initial,Nantes Métropole,44923,Nantes cedex 9,"['Canalisations', 'Espaces verts', 'Signalisation', 'Voirie']","[48, 116, 322, 365]",non,non
19-143955,2019-09-24,2019-10-25,['44'],MAINTENANCE DES LICENCES LOGICIELLES BUSINESS OBJECTS,joue,directive24,appeloffre,initial,Conseil régional des Pays de la Loire,44966,Nantes cedex 9,['Prestations de services'],[274],non,non
19-144541,2019-09-24,2019-10-23,"['28', '45']",Cathédrale de Chartres - Aménagement du trésor dans la chapelle Saint-Piat,fns,cmp2006,appeloffre,initial,MINISTERE DE LA CULTURE,45043,Orléans,['Monuments historiques'],[236],non,non
19-144791,2019-09-24,2019-11-19,['45'],Création d'un réseau d'eaux usées secteur Hôtel Dieu à OLIVET,fns,cmp2006,appeloffre,initial,Orléans Métropole,45058,Orléans,['Canalisations'],[48],oui,non
19-144983,2019-09-24,2019-11-05,"['36', '37', '28', '41', '45']",A 20 - Aménagement du demi-échangeur no8 au sud de Massay,fns,cmp2006,appeloffre,initial,DREAL Centre,45064,Orléans cedex 2,['Terrassement'],[341],non,non
19-144947,2019-09-24,2019-11-24,['45'],AOT et prestations d'imagerie médicales associées pour le Centre Hospitalier de Gien 2019-58,dsp,autre,attribution,initial,CENTRE HOSPITALIER REGIONAL D ORLEANS,45067,Orleans cedex 2,['Prestations de services'],[274],non,non
19-144653,2019-09-24,2019-10-30,['45'],Révision du Schéma de Cohérence Territoriale (SCoT) et élaboration du projet de territoire du PETR du Montargois-en-Gâtinais,fns,cmp2006,appeloffre,initial,PETR DU MONTARGOIS EN GATINAIS,45200,Montargis,['Prestations de services'],[274],non,non
19-144910,2019-09-24,2019-10-14,['45'],FOURNITURE ET LIVRAISON DE PLANTES DIVERSES POUR LA VILLE DE MONTARGIS,fns,cmp2006,appeloffre,initial,Ville de Montargis,45200,MONTARGIS,['Végétaux'],[358],non,non
19-140115,2019-09-24,2019-11-14,['45'],fournitures de denrées alimentaires pour le service de restauration et d'hébergement du lycée en forêt à montargis annee 2020,mapa,cmp2006,appeloffre,initial,Lycée EN FORET,45207,Montargis,['Denrées alimentaires'],[88],non,non
19-144961,2019-09-24,2019-10-15,['45'],"PRESTATION D'ENTRETIEN DES INSTALLATIONS D'ASSAINISSEMENT, D'EVACUATION DES EAUX USEES ET PLUVIALES, DE BACS A GRAISSE, FECULES ET SEPARATEURS D'HYDROCARBURES",fns,cmp2006,appeloffre,initial,Ville de Saint Jean de Braye,45801,SAINT JEAN DE BRAYE,['Assainissement'],[18],non,oui
19-144969,2019-09-24,2019-12-22,['45'],Marché de géomètre expert relatif à l'opération d'aménagement foncier du projet de déviation de la RD 921 entre Jargeau et Saint Denis de l'Hôtel,fns,cmp2006,attribution,initial,Département du Loiret,45945,Orléans,['Ingénierie'],[455],non,non
19-145146,2019-09-24,2019-10-24,['47'],Numéro de la consultation : 2019RA0012BIS ACQUISITION DE MINI-BENNES DE VOIRIE Consultation lancée par un groupement de commandes composé des membres suivants : AGGLOMERATION D'AGEN Coordonnateu,fns,cmp2006,appeloffre,initial,COMMUNE D AGEN,47916,AGEN,"['Benne', 'Véhicules (acquisition)']","[34, 475]",non,non
19-143872,2019-09-24,2019-10-25,"['50', '35', '14', '61']",fourniture de végétaux,joue,directive24,appeloffre,initial,CHERBOURG-EN-COTENTIN,50100,Cherbourg-en-cotentin,['Végétaux'],[358],non,non
19-145208,2019-09-24,2019-10-16,['51'],Fourniture d'un outil de gestion de la trésorerie et prestations de conseil associées,fns,cmp2006,appeloffre,initial,CHU REIMS,51092,Reims cedex,['Logiciel'],[186],non,non
19-144843,2019-09-24,2019-10-24,['51'],"2019.52 réalisation de corrections acoustiques, extension du cabinet de kinésithérapeute et création d'un bureau complémentaire à la maison de santé de vertus",fns,cmp2006,appeloffre,initial,CA EPERNAY COTEAUX ET PLAINE CHAMPAGNE,51331,Epernay Cedex,"['Electricité (travaux)', 'Menuiserie', ""Tous corps d'état""]","[105, 222, 345]",non,non
19-145205,2019-09-24,2019-10-17,['51'],Restructuration des bureaux et mise en accessibilité PMR de la mairie de Bétheny - extension du hall d'entrée par création d'un SAS-.,fns,cmp2006,appeloffre,initial,Commune de Bétheny,51450,BéTHENY,"[""Tous corps d'état""]",[345],non,non
19-144182,2019-09-24,2019-10-28,['51'],2019 sc7 mancy - d40 - sécurisation de la traverse,fns,cmp2006,appeloffre,initial,Mairie de Mancy,51530,Mancy,['Voirie'],[365],non,non
19-144857,2019-09-24,2019-10-24,['51'],prestation de services d'assurances.,fns,cmp2006,appeloffre,initial,Cté de Cnes de la Région de Suippes,51600,Suippes,['Assurance'],[20],non,non
19-144911,2019-09-24,2019-10-24,['54'],Contrôle des installations techniques dans les bâtiments du département de Meurthe-et-Moselle,fns,cmp2006,appeloffre,initial,Département de Meurthe-et-Moselle,54035,NANCY CEDEX,['Prestations de services'],[274],non,non
19-145019,2019-09-24,2019-10-24,['54'],Travaux VRD et éclairage public à réaliser au fur et à mesure des ventes de terrains (plateformes logistiques de grande taille).Type de contrat : accord-cadre sans minimum mais avec maximum (lot ..,fns,cmp2006,attribution,initial,SOLOREM,54098,Nancy cedex,['Voirie et réseaux divers'],[366],non,non
19-144764,2019-09-24,2019-11-25,['54'],Réaménagement de la rue du Rempart et du parking public - Lunéville,fns,cmp2006,attribution,initial,VILLEDE LUNEVILLE,54300,LUNEVILLE,"['Eclairage public', 'Génie civil']","[102, 141]",non,non
19-144567,2019-09-24,2019-10-14,['54'],APPEL A PROJET 'REALISATION HOTEL RESTAURANT DANS L'ANCIENNE POSTE A LONGWY HAUT',mapa,cmp2006,appeloffre,rectificatif,Ville de Longwy,54400,LONGWY,"[""Maîtrise d'oeuvre""]",[197],non,non
19-145088,2019-09-24,2019-10-07,['56'],Mission de maîtrise d'oeuvre dans le cadre de la réalisation du projet suivant : Amélioration ou sécurisation des réservoirs d'eau potable - Programme 2020,mapa,cmp2006,appeloffre,rectificatif,Pontivy Communauté,56303,Pontivy cédex,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144852,2019-09-24,2019-10-15,"['56', '29', '35', '22']",Etudes de faisabilité et de programmation pour le réaménagement des halles de Merville,fns,cmp2006,appeloffre,initial,Ville de Lorient,56315,Lorient Cedex,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
19-144760,2019-09-24,2019-10-17,"['56', '29']",maîtrise d'oeuvre pour la déconstruction du bâtiment dit 'bâtiment colbert' et la création de parking personnel supplémentaire,mapa,cmp2006,appeloffre,initial,Groupe Hospitalier Bretagne Sud,56322,Lorient cedex,"[""Maîtrise d'oeuvre""]",[197],non,non
19-137063,2019-09-24,2019-10-27,['56'],fourniture et livraison d'un camion de benne de collecte des déchets ménagers gnv,joue,directive24,appeloffre,initial,CC CENTRE MORBIHAN COMMUNAUTE,56503,LOCMINE,"['Benne', 'Véhicules (acquisition)']","[34, 475]",non,non
19-144522,2019-09-24,2019-10-16,['56'],lotissement communal kerlaran,fns,cmp2006,appeloffre,initial,Ville de Quéven,56531,Quéven cedex,"['Assainissement', 'Réseaux divers', 'Terrassement', 'Voirie et réseaux divers']","[18, 306, 341, 366]",non,non
19-144953,2019-09-24,2019-11-30,['56'],travaux de désamiantage et de déconstruction sélective d'un bâtiment industriel,fns,cmp2006,attribution,initial,Ville de Quéven,56531,Quéven cedex,"['Démolition', 'Amiante (désamiantage)']","[87, 479]",non,non
19-143995,2019-09-24,2019-10-19,['56'],Marché assurances,joue,directive24,appeloffre,initial,COMMUNE DE PENESTIN,56760,PENESTIN,['Assurance'],[20],non,non
19-144660,2019-09-24,2019-10-08,['57'],Mission de dépannage d'installations intérieures BT des clients du Groupe UEM,fns,cmp2006,appeloffre,initial,UEM,57014,Metz cedex 01,['Prestations de services'],[274],non,non
19-144549,2019-09-24,2019-10-24,"['90', '25', '70', '68', '67', '39']","remplacement des menuiseries pour la sécurisation des 3 casernes de gendarmerie de belfort et fourniture, raccordement et mise en oeuvre d'interphonie et contrôle d'accès à l'egm de belfort (90)",fns,cmp2006,appeloffre,initial,SGAMI Est DAGF BCP,57036,Metz,"[""Contrôle d'accès"", 'Interphone', 'Menuiserie']","[81, 167, 222]",non,oui
19-144608,2019-09-24,2019-12-01,"['51', '52', '54', '57', '55', '10']",Mourmelon (51). Camp bâti. Contrat de performance énergétique. Diagnostic amiante avant travaux.,fns,cmp2006,appeloffre,initial,ESID de Metz,57044,Metz cedex 01,['Amiante (diagnostic)'],[431],non,non
19-145077,2019-09-24,2019-10-21,['71'],CRISSEY (71) - MORETEAUX - BPIA - Aménagement ateliers no35 et 36.ID COSI : 32334,fns,cmp2006,appeloffre,initial,ESID de Metz,57044,Metz cedex 01,['Gros oeuvre'],[144],non,oui
19-143857,2019-09-24,2019-11-04,['57'],DECHETERIES - Maintenance du parc de bennes et des compacteurs mobiles,joue,directive24,appeloffre,initial,HAGANIS,57052,Metz cedex 02,['Métallerie'],[223],non,non
19-144713,2019-09-24,2019-12-22,['57'],"Fourniture et livraison de matériels électriques et d'éclairage, et de matériels de plomberie, sanitaire, chauffage",fns,cmp2006,attribution,initial,SCE DEPARTEMENTAL INCENDIE ET SECOURS,57072,METZ,"['Chauffage (matériel)', 'Matériel électrique', 'Radiologie (matériel)', 'Sanitaire']","[60, 203, 313, 319]",non,non
19-144796,2019-09-24,2019-10-18,['57'],Mission de certification des comptes de la Communauté d'Agglomération Sarreguemines Confluences pour les exercices 2020 à 2022,fns,cmp2006,appeloffre,initial,CA SARREGUEMINES CONFLUENCES,57208,SARREGUEMINES CEDEX,['Expertise comptable'],[446],non,non
19-144816,2019-09-24,2019-10-22,['58'],Mission d'expertise pour le contrôle de la concession de distribution publique de gaz naturel dont le SIEEEN est l'autorité concédante sur le département de la Nièvre - Relance,mapa,cmp2006,appeloffre,initial,SIEEEN,58027,Nevers cedex,"['Etude', 'Gaz divers']","[118, 139]",non,non
19-144921,2019-09-24,2019-10-22,['58'],Fourniture de matériels pour le réseau d'eau potable pièces de fontainerie,fns,cmp2006,appeloffre,initial,ADN Nevers,58027,Nevers cedex,['Fontainerie'],[131],non,non
19-144666,2019-09-24,2019-10-15,['58'],"travaux dedésamiantage, démolition de la salle des fêtes accolée au cinéma éden à cosne sur loire (58).",mapa,cmp2006,appeloffre,initial,ville de Cosne-Cours-sur-Loire,58206,Cosne-Cours-sur-Loire Cedex,"['Démolition', 'Amiante (désamiantage)']","[87, 479]",non,non
19-145067,2019-09-24,2019-10-31,['59'],réfection des toitures terrasses de l'immeuble de la drfip du nord 82 avenue kennedy à lille,fns,cmp2006,appeloffre,initial,DRFiP Nord,59000,Lille,['Couverture'],[74],non,non
19-144949,2019-09-24,2019-11-08,['59'],Vmc double flux,mapa,cmp2006,appeloffre,initial,SGAMI de Lille,59012,Lille cedex,['Ventilation'],[360],non,non
19-144889,2019-09-24,2019-11-24,['59'],Acquisition et maintenance de détecteurs multigaz portables,fns,cmp2006,attribution,initial,SDIS 59,59028,Lille cedex,['Equipements spécialisés'],[115],non,non
19-145164,2019-09-24,2019-11-05,['59'],MARCHE DE MAITRISE D'OEUVRE POUR LES TRAVAUX DE REORGANISATION DU SERVICE DES URGENCES VICTOR PROVO DU CENTRE HOSPITALISER DE ROUBAIX,fns,cmp2006,appeloffre,initial,CHU DE LILLE,59037,Lille cedex,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
19-144721,2019-09-24,2019-10-16,"['59', '62', '80', '2', '60']","mission d'assistance, de conseil et de représentation en justice dans le cadre des contrôles externes de la tarification à l'activité",mapa,cmp2006,appeloffre,initial,FHF Hauts-de-France,59037,LILLE Cedex,['Assistance juridique'],[434],non,non
19-144604,2019-09-24,2019-10-31,['59'],Accord cadre à bons de commande produits d'entretien pour les bâtiments communaux 2020 à 2022,fns,cmp2006,appeloffre,initial,Ville de Trith-Saint-Léger,59125,TRITH SAINT LEGER,"[""Produits d'entretien""]",[278],non,non
19-144546,2019-09-24,2019-10-31,['59'],Accord cadre à bons de commande matériels d'entretien pour les bâtiments communaux 2020 à 2022,fns,cmp2006,appeloffre,initial,Ville de Trith-Saint-Léger,59125,TRITH SAINT LEGER,['Hygiène (articles)'],[153],non,non
19-144022,2019-09-24,2019-10-24,['59'],Mise en place d'un schéma intercommunal des modes doux sur le territoire de la porte du hainaut,fns,cmp2006,attribution,initial,COM D AGGL DE LA PORT DU HAINAUT,59135,Wallers,['Etude'],[118],non,non
19-144515,2019-09-24,2019-10-14,"['59', '62']",Travaux de réhabilitation et extension de la mairie,mapa,cmp2006,appeloffre,annulation,COMMUNE DE MARQUILLIES,59274,Marquillies,['Gros oeuvre'],[144],non,non
19-144654,2019-09-24,2019-10-24,['59'],Mission de maîtrise d'oeuvre relative aux travauxde mise en conformité de l'aire de baignade du Parc Galamé à Loon-Plage,mapa,cmp2006,appeloffre,initial,mairie de loon plage,59279,Loon-Plage,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144864,2019-09-24,2019-10-24,['59'],Maintenance des systèmes d'alarmes incendie et anti-intrusion dans les différents bâtiments de la CPAM du HAINAUT.,fns,cmp2006,appeloffre,initial,CPAM Hainaut,59321,Valenciennes,['Maintenance'],[196],non,oui
19-143031,2019-09-24,2019-10-07,['59'],construction d'une extension du restaurant scolaire daniel imbert,fns,cmp2006,attribution,initial,Ville de Dunkerque Commune St Pol / M,59430,Saint Pol sur Mer,"['Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Photovoltaïque']","[117, 144, 222, 264, 270, 476]",non,non
19-145203,2019-09-24,2019-10-16,['62'],CONTROLE TECHNIQUE SUR LES VEHICULES DU PARC AUTOMOBILE DE LA REGION HAUTS-DE-FRANCE pour les Départements du Nord et du Pas-de-Calais : poids lourds (RELANCE Lot Côte d'Opale),fns,cmp2006,appeloffre,initial,Région Hauts-de-France,59555,LILLE,['Contrôle technique'],[72],non,non
19-145106,2019-09-24,2019-10-24,['59'],Fourniture et acheminement d'électricité et services associés pour les bâtiments communaux de la ville de Fourmies,fns,cmp2006,appeloffre,initial,Ville de Fourmies,59610,Fourmies,"['Electricité, gaz (fourniture)']",[443],non,non
19-144846,2019-09-24,2019-11-04,['59'],EPTM 2019 - Traitement de l'obsolescence de l'enregistreur de données du Tramway.,fns,cmp2006,appeloffre,rectificatif,METROPOLE EUROPEENNE DE LILLE,59800,Lille,['Matériel électronique'],[204],oui,non
19-143999,2019-09-24,2019-10-25,['59'],Tourcoing - Pôle d'échanges multimodal - Requalification des espaces publics de la place Sémard et de l'avenue Alfred Lefrançois,joue,directive24,appeloffre,initial,METROPOLE EUROPEENNE DE LILLE,59800,Lille,"[""Ouvrage d'infrastructure"", 'Signalisation', 'Voirie et réseaux divers']","[253, 322, 366]",oui,non
19-144850,2019-09-24,2019-10-30,['59'],La présente consultation a pour objectif d'établir un diagnostic stratégique sur l'offre culturelle jeunesse et sur la pratique culturelle des jeunes de moins de 18 ans sur le territoire de,mapa,cmp2006,appeloffre,initial,METROPOLE EUROPEENNE DE LILLE,59800,Lille,['Etude'],[118],non,non
19-144628,2019-09-24,2019-10-02,['60'],ACQUISITION DE TUYAUX INCENDIE POUR LE SDIS 60,fns,cmp2006,attribution,initial,SDIS 60 - Sce Dept d'Incendie,60008,Beauvais,['Equipement hydraulique'],[111],non,non
19-144795,2019-09-24,2019-10-18,['60'],Définition d'un projet de réaffectation d'usages pour le site de l'AFPA de Beauvais,mapa,cmp2006,appeloffre,initial,VILLE DE BEAUVAIS,60021,Beauvais,['Etude'],[118],non,non
