;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
110;19-141922;30103;Alès cédex;CENTRE HOSPITALIER UNIVERSITAIRE;['Maintenance'];Maintenance du petit et gros électroménagers du Centre Hospitalier Alès-Cévennes, site principal et sites extérieurs;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
111;19-140966;30105;Ales;Communauté d'Alès Agglomération;['Canalisations'];Avis d'Appel Public à la Candidature relatif à un accord cadre multi-attributaire à bons de commande pour des travaux d'eau potable et d'assainissement;non;directive25;joue;appeloffre;initial;non;2019-09-18
112;19-141667;31055;Toulouse cedex;ENAC;['Espaces verts'];Entretien des espaces verts;non;cmp2006;mapa;attribution;initial;oui;2019-09-18
113;19-142105;31062;Toulouse;Université Paul Sabatier;"[""Mission d'ordonnancement, pilotage, coordination (OPC)""]";Mission de contrôleur technique (CT), Missions de coordonnateur en matière de sécurité et de protection de la santé des travailleurs (CSPS) et Mission d'ordonnancement, de pilotage et de coordina;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
114;19-142070;31077;Toulouse cedex 4;INSA de Toulouse;['Nettoyage de locaux'];Marché 2019-014 - SERVICE DE NETTOYAGE DES LOCAUX DE L'A.I.M.E;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
115;19-140321;31240;Saint Jean;CRMA Occitanie Pyrénées - Méditerranée;['Nettoyage de locaux'];PRESTATION DE NETTOYAGE DES LOCAUX;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
116;19-140268;31505;Toulouse;TOULOUSE METROPOLE;['Pièces détachées'];Ncp/Sm-19c069ao-Fourniture De Pieces De Rechange De Qualite Equivalente A L'Origine Pour Vehicules Legers, Utilitaires, Poids-Lourds, Materiels Et Engins;non;directive24;joue;attribution;initial;non;2019-09-18
117;19-140717;31505;Toulouse;COMMUNE DE TOULOUSE;['Prestations de services'];Concours Pour L'Attribution D'Un Marche De Maitrise D'oeuvre - Construction Du Groupe Scolaire Alphand Meitner- Dt/Lm;non;directive24;joue;appeloffre;initial;non;2019-09-18
118;19-141776;31505;Toulouse;TOULOUSE METROPOLE;['Assainissement'];GRAND PARC GARONNE-TRAVAUX D'AMENAGEMENT DES SECTEURS BANLEVE ET MAYSSONNIE SUR L'ILE DU RAMIER A TOULOUSE;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
119;19-141036;31505;Toulouse;TOULOUSE METROPOLE;['Déchets non ménagers (prestations)'];19c076ao - Ac/Hl - Collecte, Transport, Tri, Valorisation Ou élimination Des Déchets Toxiques Et Dangereux Générés Par Les Services - Années 2020-2022;non;directive24;joue;appeloffre;initial;non;2019-09-18
120;19-140525;31505;Toulouse;TOULOUSE METROPOLE;['Expertise comptable'];19m228cn - Je-Eo - Mission De Commissariat Aux Comptes Dans Le Cadre De L'Experimentation A La Certification Des Comptes Pour Toulouse Metropole (2020-2023);non;directive24;joue;appeloffre;initial;non;2019-09-18
121;19-142166;32022;Auch;Département de Gers;['Sel de déneigement'];Fourniture de sel de déneigement pour les routes départementales;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
122;19-140121;32600;LISLE-JOURDAIN;CC DE LA GASCOGNE TOULOUSAINE;['Titres restaurant', 'Chèque cadeau'];Fourniture de titres restaurant et de chèques cadeaux pour les agents de la ccgt;non;directive24;joue;appeloffre;initial;non;2019-09-18
123;19-141631;33068;Bordeaux cedex;MINDEF/SGA/DCSID/ESID Bordeaux;"[""Tous corps d'état""]";Châteaubernard - (16) - BA709 Cognac-Réhabilitation du hangar HM10 en vestiaires et sanitaires;non;cmp2006;fns;attribution;initial;non;2019-09-18
124;19-140123;33068;Bordeaux cedex;SCA/PFAF SO;['Manutention'];Le présent projet de marché public est passé en application du livre III de la partie 2 du code de la commande publique (défense et sécurité), par procédure négociée avec publicité préalable (art. ..;non;directive81;joue;appeloffre;initial;non;2019-09-18
125;19-141896;33068;Bordeaux cedex;MINDEF/SGA/DCSID/ESID Bordeaux;"[""Tous corps d'état""]";Estillac 47 - stand de tir de la garenne - mise aux normes et purge de la butte de tir;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
126;19-141730;33077;Bordeaux cedex;Région Nouvelle Aquitaine;['Acier'];Fourniture de boucliers de défenses de quai;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
127;19-140488;33077;Bordeaux cedex;Région Nouvelle Aquitaine;['Etude', 'Prestations de services'];Déploiement d'une méthode d'évaluation et de suivi du patrimoine portuaire et de gestion des ouvrages;non;directive24;joue;attribution;initial;non;2019-09-18
128;19-141673;33110;Le Bouscat;COMMUNE DE LE BOUSCAT;['Horodateur', 'Maintenance', 'Prestations de services'];Fourniture, pose et maintenance de bornes d'arrêt minute;non;cmp2006;fns;appeloffre;annulation;non;2019-09-18
129;19-141745;33115;Pyla-sur-mer;Synd. mixte de la Grande Dune du Pilat;"['Matériel scénique', 'Equipement muséographique', ""Aire d'accueil""]";Conception de la muséographie et scénographie de l'espace d'accueil du grand site de la dune du pilat, de l'entrée du parc de stationnement à la crête de dune.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
130;19-140760;33173;Gradignan cedex;Ville de Gradignan;['Etude'];Concours restreint de maîtrise d'oeuvre pour la construction d'un groupe scolaire au centre-ville de Gradignan;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
131;19-140282;33311;ARCACHON Cedex;Ville d'Arcachon;['Délégation de service public'];Délégation de service public portant sur la gestion, le développement et l'exploitation du Camping d'Arcachon;non;directive23;joue;appeloffre;initial;non;2019-09-18
132;19-142005;33370;Artigues-Près-Bordeaux;SYND MIXTE DU BSN VERSANT RUISSEAU GUA;"['Ouvrage hydraulique', ""Travaux dans l'eau""]";création d'un ouvrage de régulation en sortie du bassin de rétention de cantalaudette à tresses;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
133;19-141968;33400;TALENCE;CHU DE BORDEAUX;['Bâtiment'];Numéro de la consultation : 19STITLK64 Travaux de reprise de structure et embellissement de la crèche à Haut Lévêque;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
134;19-140764;33401;Talence cedex;Mairie de Talence;['Abris', 'Contrôle technique'];CONTROLES TECHNIQUES ET VERIFICATIONS REGLEMENTAIRES - ANNEES 2020 ET 2021;non;directive24;joue;appeloffre;initial;non;2019-09-18
135;19-140406;33401;Talence cedex;Mairie de Talence;['Eclairage public'];FOURNITURE ET INSTALLATION DE LUMINAIRES LED NEUFS SUR LE PARC D'ECLAIRAGE PUBLIC (CHANGEMENT DES FOYERS LUMINEUX EXISTANTS);non;directive24;joue;appeloffre;initial;non;2019-09-18
136;19-142076;33520;BRUGES CEDEX;Ville de Bruges;['Habillement', 'Location (matériels)'];Location et entretien de vêtements de travail de restauration;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
137;19-142077;33564;CARBON BLANC;VILLE DE CARBON-BLANC;['Cimetière'];Travaux d'aménagement au cimetière de la Ville de Carbon-Blanc;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
138;19-141962;33680;Le porge;Mairie Le Porge;['Démolition'];Déconstruction et désamiantage de bâtiments communaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
139;19-140680;34090;Montpellier;UNIVERSITE DE MONTPELLIER;['Abris', 'Prestations de services'];PRESTATIONS DE SURVEILLANCE et GARDIENNAGE, TELESURVEILLANCE et TELESECURITE DES SITES DE L'UNIVERSITE DE MONTPELLIER;non;directive24;joue;attribution;initial;non;2019-09-18
140;19-142171;34132;MAUGUIO;MAIRIE DE MAUGUIO CARNON;['Prestations de services'];DISTRIBUTION, ACTIONS DE STREET MARKETING, DIFFUSION EN BOITES AUX LETTRES;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
141;19-128076;34173;Castelnau-le-Lez;Ville de Castelnau-le-lez;"[""Maîtrise d'oeuvre""]";concours restreint de maîtrise d'oeuvre sur esquisse (+) pour la construction d'un quatrième groupe scolaire à Castelnau-le-lez;non;directive24;joue;appeloffre;initial;non;2019-09-18
142;19-140235;34187;MONTPELLIER;Conseil Général de l'Hérault;['Bâtiment'];Relance des 6 lots non attribués au cours de la 1e consultation pour les travaux de construction de bureaux sur le site d'Alco à Montpellier;non;directive24;joue;attribution;initial;non;2019-09-18
143;19-140172;34190;GANGES;CC des Cévennes Gangeoises & Suménoise;['Assurance'];service d'assurances;non;directive24;joue;appeloffre;initial;non;2019-09-18
144;19-141696;34293;Montpellier cedex 5;CNRS Délégation Languedoc Roussillon;['Bâtiment'];La présente consultation concerne la rénovation de l'animalerie de l'Institut Génétique Moléculaire Montpellier (IGMM) sur le site du CNRS situé à Montpellier.La zone afférente à l'im;oui;cmp2006;fns;appeloffre;initial;oui;2019-09-18
145;19-140154;34296;Montpellier;Ecole Nale Sup. de Chimie Montpellier;['Equipements spécialisés', 'Laboratoire (fourniture)'];Diffractomètre de poudres et Spectromètre Mössbauer;non;directive24;joue;attribution;initial;non;2019-09-18
146;19-140386;34370;Maureilhan;Communauté de Communes La Domitienne;['Conteneur, poubelles'];Fourniture de colonnes enterrées pour la collecte des déchets ménagers et des produits recycables;non;directive24;joue;attribution;initial;oui;2019-09-18
147;19-141821;34403;Lunel cedex;COMMUNE DE LUNEL;['Impression'];Mise en page, réalisation graphique et impression de supports de communication.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
148;19-140477;34490;THEZAN LES BEZIERS;MAIRIE DE THEZAN;['Réseaux divers', 'Travaux de viabilité', 'Voirie'];"concession d'amenagement pour realisation de la zac ""la granouillere"" à thezan-les-beziers (article l300-4 et r300-4 du code le l'urbanisme) (rectificatif)";non;autre;joue;rectificatif;rectificatif;non;2019-09-18
149;19-141858;34508;Béziers;Ville de Béziers;['Ferronnerie', 'Monuments historiques', 'Serrurerie'];Hôtel CHAPPAZ - Réfection du clos et du couvert-Relance lot 05 Serrurerie-Ferronnerie;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
150;19-141710;34973;Lattes;Commune de Lattes;['Articles de bureau et articles scolaires'];fourniture de bureau et fournitures scolaires - lots 1 à 2;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
151;19-140692;35039;RENNES CEDEX;Rennes Métropole;['Nettoyage de locaux'];Nettoyage d'une partie des locaux de l'équipement culturel des Champs Libres et de l'ensemble de la vitrerie;non;directive24;joue;appeloffre;initial;non;2019-09-18
152;19-140353;35653;Le rheu cedex;INRA;['Menuiserie'];RÉAMÉNAGEMENT DU BÂTIMENT 19-MENUISERIES;oui;directive24;joue;appeloffre;initial;non;2019-09-18
153;19-140127;35711;Rennes;Région Bretagne;['Assurance'];Prestations d'assurances pour la Région Bretagne;non;directive24;joue;attribution;initial;non;2019-09-18
154;19-140711;35998;Rennes cedex 9;ESID de Rennes;['Bâtiments modulaires'];CHERBOURG (50) - Quartier BLAISON - Fourniture et pose d'un bâtiment modulaire pour l'accueil des équipages Bis - 454302;non;directive24;joue;appeloffre;initial;non;2019-09-18
155;19-141806;37012;Tours cedex 1;CCAS de Tours;['Véhicules (acquisition)'];Achat de deux véhicules;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
156;19-140152;37020;Tours cedex 1;Université François Rabelais de Tours;['Informatique (prestations de services)', 'Prestations de services'];Prestation de services d'acquisition de données topographiques et bathymétriques par Lidar topo-bathymétrique sur la Loire et ses affluents pour le compte du programme ARD Intelligence des Patrim;non;directive24;joue;attribution;initial;non;2019-09-18
157;19-141855;37206;Tours cedex 3;Etablissement Français du Sang;['Consommables médicaux'];FOURNITURE DE GLACE CARBONIQUE DE HAUTE DENSITE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
158;19-140943;37206;TOURS CEDEX 3;Tours Métropole Val de Loire;['Maintenance'];MAINTENANCE DES EQUIPEMENTS DE MARQUE SCHWING SUR LA STATION D'EPURATION DES EAUX USEES DE LA GRANGE DAVID A LA RICHE;non;directive24;joue;appeloffre;initial;non;2019-09-18
159;19-140245;37206;Tours;SYNDICAT DES MOBILITES DE TOURAINE;['Véhicules (acquisition)'];acquisition de véhicules pour le transport de personnes à mobilité réduite;non;directive24;joue;appeloffre;initial;non;2019-09-18
160;19-141702;37927;Tours;Conseil Général d'Indre et Loire;['Abonnement'];DROIT DE COPIE, FOURNITURE DE VEILLES ET POSSIBILITE DE PANORAMA DE PRESSE NATIONALE ET REGIONALE DU CONSEIL DEPARTEMENTAL D'INDRE ET LOIRE;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
161;19-141052;38022;Grenoble;SYND MIXTE BASSINS HYDRAULIQUES ISERE;['Etude'];Etude de danger du système d'endiguement de l'Isère aval, rives droite et gauche - 2019;non;directive24;joue;attribution;initial;non;2019-09-18
162;19-142065;38341;VOREPPE;ville de VOREPPE;['Restauration collective'];Fourniture et livraisons de repas en liaison froide pour la crèche de Voreppe;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
163;19-142051;38433;ECHIROLLES;VILLE D'ECHIROLLES;"[""Assistance à maîtrise d'ouvrage""]";ASSISTANCE À MAÎTRISE D'OUVRAGE - ETUDES DE PROGRAMMATION POUR REHABILITATION ET LA CREATION D'EQUIPEMENTS PUBLICS COMMUNAUX;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
164;19-141832;38603;Fontaine;VILLE DE FONTAINE;['Eclairage public', 'Espaces verts', 'Voirie et réseaux divers', 'Aire de jeux'];Numéro de la consultation : 2019-017 AMENAGEMENT DU SQUARE MAISONNAT POUR LA COMMUNE DE FONTAINE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
165;19-141751;40006;Mont de Marsan cedex;SYDEC;"['Assainissement', ""Station d'épuration (travaux)""]";commune de ondresassainissementfiabilisation station d'épurationremplacement du dégrilleuropération no2017-025;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
166;19-140638;40107;Dax cedex;Ville de Dax;['Prestations de services', 'Titres restaurant'];Emission, livraison et suivi de gestion de titres-restaurant pour les agents de la ville de Dax;non;directive24;joue;attribution;initial;non;2019-09-18
167;19-141895;40601;Bicarrosse cedex;COMMUNE DE BISCARROSSE;['Assistance technique'];ASSISTANCE ET CONSEIL - GESTION ET SUIVI DE LA TLPE;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-18
168;19-142032;41012;Blois Cedex;Ville de Blois;['Etude', 'Fontainerie', 'Fontaine'];Conception, réalisation et maintenance d'un bassin existant avec fil d'eau Square Victor-Hugo et remise en eau de la fontaine Corbigny Square Clément-Lévy;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
169;19-140997;42023;Saint-etienne cédex 2;ECOLE NAL SUP DES MINES DE ST ETIENNE;['Prestations de services'];Prestation entretien des espaces verts;oui;directive24;joue;appeloffre;initial;oui;2019-09-18
170;19-141019;42055;Saint etienne cedex 02;CHU SAINT ETIENNE;['Prestations de services'];DTE-DTE2019-105 MISSION D'ACCOMPAGNEMENT ET DE CONSEILS AUPRES DU CH DU FOREZ;non;directive24;joue;attribution;initial;non;2019-09-18
171;19-140968;42605;Montbrison Cedex;Communauté d'Agglomération Loire Forez;['Prestations de services', 'Amiante (diagnostic)'];Repérage amiante et Hap (Hydrocarbures Aromatiques Polycycliques) dans les enrobés avant travaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
172;19-141835;43003;Le Puy en Velay;COMMUNAUTE D AGL DU PUY EN VELAY;"[""Maîtrise d'oeuvre""]";Maîtrise d'oeuvre pour la création d'un club house et l'aménagement d'un parking au Palais des Sports;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
173;19-140308;44035;Nantes cedex 1;Université de Nantes;['Laboratoire (matériel)'];Développement d'une plateforme de test d'un mircoréseau multisources;non;directive24;joue;appeloffre;initial;non;2019-09-18
174;19-140455;44035;Nantes cedex 1;Université de Nantes;['Impression'];Imprimante 3D stérile dédiée à la bio impression;non;directive24;joue;appeloffre;initial;non;2019-09-18
175;19-140144;44100;Nantes;CHU NANTES;['Bâtiment', 'Canalisations', 'Chauffage (travaux)', 'Climatisation', 'Décoration (travaux)', 'Equipements spécialisés', 'Etanchéité', 'Fluides médicaux', 'Forage', 'Gros oeuvre', 'Informatique (prestations de services)', 'Matériel de sécurité', 'Matériel médical', 'Prestations de services', 'Signalétique', 'Voirie et réseaux divers'];marchés de travaux pour la construction d'un ensemble hospitalo-universitaire dit 'Projet Île de Nantes';oui;directive24;joue;preinformation;initial;non;2019-09-18
176;19-140438;44190;clisson;Clisson Sèvre et Maine Agglo;['Démolition', 'Amiante (désamiantage)'];deconstruction et construction du siege communautaire et de la maison de l'economie : desamiantage et deconstruction des batiments situes 13 rue des ajoncs a clisson (44190);non;directive24;joue;appeloffre;initial;non;2019-09-18
177;19-140512;44260;SAVENAY;ESAT Foyers;['Informatique (prestations de services)', 'Matériel de transmission', 'Matériel phonique', 'Réseaux divers', 'Routage', 'Télécommunications', 'Informatique (maintenance serveurs et réseaux)'];FOURNITURE DE MATERIELS ET DE SERVICES DE TELECOMMUNICATIONS :FIXE, MOBILE ET INTERNET;non;directive24;joue;appeloffre;initial;non;2019-09-18
178;19-140599;44560;Paimboeuf;Communauté de Communes du Sud-Estuaire;['Véhicules (location)'];location de cars avec chauffeurs;non;directive24;joue;appeloffre;initial;non;2019-09-18
179;19-140314;44706;Orvault;Ville d'Orvault;['Titres restaurant'];Marché de fourniture de titres restaurant;non;directive24;joue;attribution;initial;non;2019-09-18
180;19-140207;44966;Nantes cedex 9;Conseil régional des Pays de la Loire;['Matériel de sécurité', 'Mobilier urbain'];Entretien et affichage de campagnes d'informations institutionnelles du mobilier des points d'arrêt régionaux;oui;directive24;joue;appeloffre;initial;non;2019-09-18
181;19-140577;44966;Nantes cedex 9;Conseil régional des Pays de la Loire;['Mobilier urbain'];Acquisition, pose et dépose et maintenance du mobilier des points d'arrêt régionaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
182;19-140420;45040;Orléans;Ville d'Orléans;['Prestations de services'];Fêtes de Jeanne d'Arc Orléans 2020 - Organisation du Marché Médiéval du 7 au 10 mai 2020;non;directive24;joue;appeloffre;initial;oui;2019-09-18
183;19-141769;45041;ORLEANS;REGION CENTRE VAL DE LOIRE;['Etude'];"Numéro de la consultation : 19MS13P Assistance à maîtrise d'ouvrage pour la constitution d'écosystèmes locaux et d'une coalition sur la solution "" hydrogène vert (H2V) "" en Région Centr";non;cmp2006;fns;appeloffre;initial;non;2019-09-18
184;19-140522;45041;Orleans;Approlys;['Articles de bureau et articles scolaires'];La présente consultation concerne la fourniture administratives, de papiers, fournitures scolaires et de loisirs créatifs;oui;directive24;joue;appeloffre;initial;oui;2019-09-18
185;19-142119;45058;Orléans;Orléans Métropole;['Canalisations'];Projet de réutilisation des eaux de la station d'épuration d'Orléans La Source / Saint-Cyr-en-ValLot 1 : Réalisation d'une canalisation de transfert des eaux usées traitées d'Orlé;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
186;19-140746;45058;Orléans;Orléans Métropole;['Eclairage public', 'Espaces verts', 'Réseaux divers'];Travaux de requalification, d'enfouissement et renouvellement des réseaux de la Rd2157 à Ingré et Orléans (3 lots);non;directive24;joue;attribution;initial;oui;2019-09-18
187;19-141184;45060;Orleans cedex 2;B R G M;['Curage', 'Etude'];HASUD190903 Etude technico-économique sur les possibilités de gestion des sites de la vallée du GRESILLOU sur le Secteur minier de Salsigne, Commune de Villanière (11);non;directive24;joue;appeloffre;initial;non;2019-09-18
188;19-140596;45067;Orléans cedex 2;Université d'Orléans;['Nettoyage de locaux'];PRESTATIONS DE NETTOYAGE ET FOURNITURES DE CONSOMMABLES DE NETTOYAGE;non;directive24;joue;attribution;initial;non;2019-09-18
189;19-142103;45075;Orléans;I.N.R.A. de Nouzilly;['Bâtiment', 'Chauffage (travaux)', 'Couverture', 'Electricité (travaux)', 'Plomberie (travaux)', 'Ventilation', 'Amiante (désamiantage)'];construction du pôle de phénotypage des petits ruminants (p3r) pour l'unité expérimentale du site inra de bourges;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
190;19-140731;45081;Orléans;Les résidences de l'Orléanais;['Matériel robinetterie'];Entretien Complet Et Interventions En Depannage De La Robinetterie Individuelle Et Collective Des Reseaux Eau Froide Et Eau Chaude Sur L'Ensemble Du Patrimoine;non;directive24;joue;appeloffre;initial;non;2019-09-18
191;19-141836;45170;Neuville aux bois;Ville de Neuville aux Bois;['Voirie'];Aménagement d'un espace partagés rue de Chilleurs;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
192;19-141825;45460;LES BORDES;Commune Les Bordes;['Alimentation en eau potable'];REMPLACEMENT D'UNE CANALISATION D'EAU POTABLE ROUTE D'ORLÉANS;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
193;19-141118;45650;Saint Jean le Blanc;Mairie Saint Jean le Blanc;['Prestations de services'];Nettoyage De Divers Batiments Communaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
194;19-140393;46700;PUY-L'EVEQUE;CC Vallee du lot et du Vignoble;['Voirie', 'Véhicules (acquisition)'];Fourniture et livraison d'un répandeur gravillonneur synchronisé sur porteur 26 tonnes;non;directive24;joue;appeloffre;initial;non;2019-09-18
195;19-142121;47307;VILLENEUVE-SUR-LOT;COMMUNE DE VILLENEUVE SUR LOT;['Transport'];Numéro de la consultation : 19_MV_Transport_sc TRANSPORT PAR AUTOCARS LORS DES SORTIES SCOLAIRES ET ALSH;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
196;19-141897;49321;Cholet Cedex;Ville de Cholet;['Eclairage public', 'Signalisation'];entretien et amélioration des réseaux d'éclairage public et de signalisation tricolore (2020-2023) - groupement de commandes;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
197;19-141942;50102;Cherbourg;Centre Hospitalier Public du Cotentin;['Carrelage', 'Gros oeuvre'];gros oeuvre, carrelage (construction d'un bâtiment pour un deuxième accélérateur de particules - ch cherbourg en cotentin);non;cmp2006;fns;appeloffre;initial;non;2019-09-18
198;19-138184;50108;Cherbourg-en-Cotentin;CHERBOURG-EN-COTENTIN;['Voirie'];fourniture de brosseries de voirie - 11 lots - année 2019 - accord-cadre à bons de commandes;non;directive24;joue;appeloffre;initial;non;2019-09-18
199;19-139702;50108;Cherbourg-en-cotentin;CHERBOURG-EN-COTENTIN;['Electricité, gaz (fourniture)'];fourniture et acheminement d'électricité cherbourg-en-cotentin;non;directive24;joue;appeloffre;initial;oui;2019-09-18
200;19-140518;50108;Cherbourg-en-cotentin;CCI de Cherbourg-Cotentin;['Equipement industriel', 'Equipements spécialisés'];2019-06 - ccit ouest normandie - port de pêche de cherbourg - installation de viviers et d'un pont roulant au centre de marée de cherbourg;non;directive24;joue;appeloffre;initial;non;2019-09-18
201;19-140729;50250;La haye;CC COTE OUEST CENTRE MANCHE;['Sacs'];2019-018 Fournitures des sacs destinés à la collecte des déchets;non;directive24;joue;appeloffre;initial;non;2019-09-18
202;19-140327;50402;Granville cédex;CC DE GRANVILLE TERRE ET MER;['Véhicules (location)'];Location de 2 camions grue compacteur;non;directive24;joue;appeloffre;initial;non;2019-09-18
203;19-140693;50442;La Hague cedex;Commune de la Hague;['Location (matériels)', 'Matériel de travaux publics'];Location de matériels pour la commune de la Hague;non;directive24;joue;appeloffre;initial;non;2019-09-18
204;19-140929;51000;CHALONS EN CHAMPAGNE;Chambre d'Agriculture Grand Est;['Prestations de services'];Réalisation de l'espace régional Grand Est à l'occasion du SIA 2020, 2021 et 2022.;non;directive24;joue;appeloffre;initial;non;2019-09-18
205;19-140408;51100;Reims;CRNA Est;['Nettoyage de locaux', 'Prestations de services', 'Vitrerie'];Marché de nettoyage des locaux et des abords du CRNA/EST à Reims et sites rattachés (Prunay, Trigny), et prestations de vitrerie.;non;directive24;joue;appeloffre;initial;oui;2019-09-18
206;19-141811;51260;ANGLURE;Cté de communes du Pays d'Anglure;"[""Tous corps d'état""]";Travaux de réhabilitation du silo à boues de la station d'épuration de Marcilly sur Seine-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
207;19-141810;51260;ANGLURE;Cté de communes du Pays d'Anglure;"[""Tous corps d'état""]";Travaux de réfection du réservoir sur tour de Marcilly sur Seine-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
208;19-141801;52200;Langres;Ville de Langres;['Alimentation en eau potable', 'Canalisations', 'Réseaux divers'];Remplacement de la conduite existante en mettant en oeuvre une conduite PEHD Ø 160 mm en fourreau dans la conduite EI existante en Ø 200 et raccordement sur la conduite AEP existante en 3 points.;non;cmp2006;mapa;attribution;initial;non;2019-09-18
209;19-140936;53008;Laval cedex;Laval Agglomération;"['Bâtiment', 'Plomberie (travaux)', ""Tous corps d'état""]";Travaux de construction d'un pôle culturel à Laval - relance;non;directive24;joue;attribution;initial;non;2019-09-18
210;19-140278;54000;Nancy;COLLEGE DE LA CRAFFE;['Restauration collective'];SERVICE DE CONFECTION ET LIVRAISON DE REPAS DU MIDI EN POUR LE COLLEGE DE LA CRAFFE 54000 NANCY, EN PERIODE SCOLAIRE, LES LUNDI MARDI MERCREDI JEUDI ET VENDREDI;non;directive24;joue;appeloffre;initial;non;2019-09-18
211;19-140183;54000;Nancy;Collège Alfred Mézières;['Restauration collective', 'Prestations de services'];Service de confection et livraison de repas en liaison froide;non;directive24;joue;appeloffre;initial;non;2019-09-18
212;19-142182;54005;NANCY Cedex;Ville de Nancy;['Prestations de services'];Organisation des classes découvertes pour l'année 2020-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
213;19-140319;54035;NANCY CEDEX;Département de Meurthe-et-Moselle;['Papeterie'];FOURNITURE DE PAPIER OFFSET ET DE REPROGRAPHIE POUR LE DEPARTEMENT DE MEURTHE-ET-MOSELLE ET LE SDIS 54 - GROUPEMENT DE COMMANDES;non;directive24;joue;appeloffre;initial;non;2019-09-18
214;19-140484;54320;MAXEVILLE;Ville de Maxéville;['Assurance'];marché de prestations d'assurance;non;directive24;joue;attribution;initial;non;2019-09-18
215;19-142001;54650;SAULNES;COMMUNE DE SAULNES;['Denrées alimentaires', 'Prestations de services', 'Repas, traiteur', 'Diététique'];Fourniture de Reopas pour Personnes Agées, Isolées, Handicapées et Personnes nécessiteuses en liaison froide-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
216;19-141641;56001;VANNES;Eau du Morbihan;['Alimentation en eau potable'];Maîtrise d'oeuvre pour la modernisation de la station de production d'eau potable de Minez Du à LANGONNET - Collège Territorial ELLE INAM;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
217;19-140239;56021;Vannes cedex;CPAM du Morbihan;['Véhicules (acquisition)'];Acquisition de véhicules neufs avec reprise de véhicules d'occasion;non;directive24;joue;attribution;initial;non;2019-09-18
218;19-141919;56130;La Roche Bernard;Institution Aménagement de la Vilaine;['Espaces verts'];entretien d'espaces verts sur les retenues de la chère (communes de châteaubriant, soudan 44) et l'étang de la forge (commune de moisdon la rivière, 44);non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
219;19-140593;56270;PLOEMEUR;Commune de Ploemeur;['Maintenance'];Maintenance multi technique réglementaire;non;directive24;joue;attribution;initial;non;2019-09-18
220;19-142034;56314;Lorient cedex;Lorient Agglomération;['Contrôle technique', 'Prestations de services'];Prestations connexes aux travaux de bâtiment et de génie-civil : CSPS et contrôle technique;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
221;19-140881;57036;Metz;Ville de Metz;['Transport'];Transport D'élèves Dans Le Cadre Des Activités Sportives;non;directive24;joue;attribution;initial;non;2019-09-18
