a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-133261,fns,cmp2006,appeloffre,initial,2019-09-03,1569250800000.0,2019-09-23,,['20A'],,Mission d appui à la réorganisation du DIM et à l amélioration de la tenue du dossier patient informatisé,centre hospitalier ajaccio,,"M. PESCE JEAN-LUC, DIRECTEUR GENERAL",,,"27, avenue Impératrice Eugénie BP 411",20303,AJACCIO,,,,,jean-luc.pesce@ch-ajaccio.fr,https://www.ch-ajaccio.fr,http://www.achat-sante.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133585,mapa,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,"['25', '21', '39', '70', '71', '90']",,Travaux de renouvellement de la centrale incendie au Palais de Justice de Besançon,Ministère de la Justice,,"Mme GROUSSON TROYES Raphaelle, Chargée d'opérations",,,4 rue Leon MAURIS,21077,Dijon cedex,,03-80-28-88-00,,03-80-28-88-05,,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[90],['Détection incendie'],non,non
19-133235,fns,cmp2006,appeloffre,initial,2019-09-03,1568631600000.0,2019-09-16,,['21'],,refection toiture terrasse - batiment 34 - centre hemodialyse,Centre Hospitalier Universitaire Dijon,,Monsieur Le Directeur,,,direction des Services Techniques 5 bd Jeanne d'arc B.P.77908,21079,dijon cedex,,,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[62, 117, 360]","['Climatisation', 'Etanchéité', 'Ventilation']",non,non
19-133423,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-17,,['24'],,RD 78 - Contournement de Bourdeilles - Réalisation des dossiers d'autorisations préalables aux travaux,Conseil Général de la Dordogne,, Monsieur le Président du Conseil départemental,,,"Service de la commande publique et des marchés, Hôtel du département - 2, rue Paul-Louis Courier, CS 11200",24019,PERIGUEUX,,05-53-45-49-20,,01-57-67-29-24,cg24.marches@dordogne.fr,http://www.cg24.fr,http://www.marchespublics.dordogne.fr,,,,,,,,,,,[19],['Assistance technique'],non,non
19-133633,fns,cmp2006,appeloffre,initial,2019-09-03,1569427200000.0,2019-09-25,,"['21', '58', '25', '39', '70', '71', '89', '90']",,Acquisition d'équipements pédagogiques pour les lycées de Bourgogne-Franche-Comté - Maintenance de véhicules légers (VL) et poids lourds (PL) - lots 1 à 3,Région Bourgogne - Franche-Comté,,Mme TIREL Dominique,,,4 square Castan CS51857,25031,Besançon,,,,,,,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[199, 475]","['Matériaux routiers', 'Véhicules (acquisition)']",non,non
19-133191,mapa,cmp2006,appeloffre,initial,2019-09-03,1569495600000.0,2019-09-26,,"['25', '21', '39', '58', '70', '71', '89', '90']",,désignation d'un prestataire pour la réalisation d'une étude de faisabilité de rationalisation de l'externat - lycée etienne marey à beaune (21),REGION BOURGOGNE FRANCHE COMTE,,Marielle Droz Vincent Raguin,,,4 SQUARE CASTAN,25031,BESANCON,,,,,,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[274],['Prestations de services'],non,non
19-131412,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['25'],,Déconstruction de l'ancienne école saint-ferjeux,Ville de Besançon,,"M.Fousseret Jean-Louis, Maire",,,2 rue Megevand,25034,Besancon,,03-81-61-50-50,,,besancon@besancon.fr,http://www.besancon.fr,https://www.marches.grandbesancon.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[479],['Amiante (désamiantage)'],non,non
19-133600,mapa,cmp2006,appeloffre,initial,2019-09-03,1570446000000.0,2019-10-07,,"['25', '70', '90']",,Impasse des Bateliers - Aménagement d'un bloc sanitaires,COMMUNE DE MONTBELIARD,, Mme le MAIRE,,,Hôtel de Ville BP 95287,25205,MONTBELIARD CEDEX,,03-81-99-22-00,,,correspondre@aws-france.com,https://www.montbeliard.fr,http://agysoft.marches-publics.info,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[319, 341]","['Sanitaire', 'Terrassement']",non,non
19-133625,mapa,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-09-24,,['25'],,marché public de maîtrise d'oeuvre pour la réhabilitation et la mise aux normes de la salle des fêtes (environ 428 m2 de surfaces utiles) et ses abords à les premiers sapins (nods),Mairie Les Premiers Sapins,,Monsieur le Maire,,,"26 Grande Rue, NODS",25580,Les Premiers Sapins,,03-81-60-72-49,,,mairie.lps25@orange.fr,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[197],"[""Maîtrise d'oeuvre""]",non,non
19-133596,fns,cmp2006,appeloffre,initial,2019-09-03,1568368800000.0,2019-09-13,,['26'],,Mission d'optimisation du fonds de compensation de la taxe sur la valeur ajoutée (FCTVA),Département de la Drôme,," Conseil départemental de la Drôme, représenté par sa Présidente, Mme Marie-Pierre Mouton",,,"Direction des finances, 26 avenue du Président herriot",26026,Valence,,,,,consultations-achats@ladrome.fr,http://www.ladrome.fr,http://www.ladrome.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[274],['Prestations de services'],non,non
19-133609,fns,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,['26'],,Travaux de voirie et de peinture routière pour l'entretien et l'amélioration de la voirie communale,Ville de Tain l'Hermitage,," ANGELI Xavier, Maire",,,2 avenue du Président Roosevelt BP 80054,26603,Tain l'Hermitage,,04-75-08-30-32,,04-75-07-16-31,mairie@ville-tain.com,http://www.ville-tain.fr,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[199],['Matériaux routiers'],non,non
19-133205,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['27'],,Travaux opération de sécurité - Création d'un aménagement d'assainissement - Commune de Bec-Hellouin - RD438 - RD 39,DEPARTEMENT DE L EURE,,"M. Lehongre Pascal, Département de l'Eure",,,14 boulevard Georges Chauvin,27021,Evreux cedex 01,,,,,,http://www.eure-en-ligne.fr/,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[18],['Assainissement'],non,non
19-131511,fns,cmp2006,appeloffre,initial,2019-09-03,1569236400000.0,2019-09-23,,['28'],,contrôle de bon fonctionnement d'installations d'assainissement non collectif sur le territoire de l'agglomération,Agglo-Pays-Dreux,,jean-marie d'oliveira,,,4 rue de Châteaudun BP 20159,28103,Dreux cedex,,02-37-64-84-97,,,commandepublique@dreux-agglomeration.fr,,http://www.cadd-marches.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '12'}",[72],['Contrôle technique'],non,non
19-133459,fns,cmp2006,appeloffre,initial,2019-09-03,1570446000000.0,2019-10-07,,"['28', '27', '76']",,Travaux d'amélioration des performances épuratoires de la station d'épuration de senonches,Commune de SENONCHES,,Monsieur le Maire,,,2 rue de Verdun,28250,Senonches,,02-37-37-76-76,,,mairie@ville-senonches.fr,,http://agysoft.marches-publics.info/,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[18, 328]","['Assainissement', ""Station d'épuration (travaux)""]",non,non
19-133484,fns,cmp2006,appeloffre,initial,2019-09-03,1568970000000.0,2019-09-20,,['29'],,La consultation est relative aux prestations de nettoyage des équipements de stockage et de manutention du terminal multi-vracs du port de Brest,CCI METROPOLITAINE BRETAGNE OUEST,,"M. BELLION Frank, président",Service Marchés publics,,1 place du 19ème R.I,29238,Brest cedex 2,,02-98-00-38-00,,02-98-00-39-00,marchespublics@bretagne-ouest.cci.bzh,http://www.bretagne-ouest.cci.bzh/,https://marches.megalisbretagne.org/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=119686&orgAcronyme=g5e,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': '27'}",[251],['Outillage'],non,non
19-119118,joue,directive24,attribution,initial,2019-09-03,,2019-11-04,,['30'],,maitrise d'oeuvre pour la création des ouvrages de collecte et de transfert du ruissellement vers le bassin des antiquailes,CA Nîmes Métropole,,,horaires d'ouverture du lundi au vendredi : 8h30 - 12h30 / 13h30 - 17h00,FRJ12,Colisée 2 - 1er étage 1 rue du Colisée Cedex 9,30947,Nimes,,(+33) 4-34-03-57-00,,,commande-publique-agglo@nimes-metropole.fr,http://www.marches-securises.fr,https://www.marches-securises.fr,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}","[18, 197, 255]","['Assainissement', ""Maîtrise d'oeuvre"", 'Ouvrage hydraulique']",non,non
19-133088,fns,cmp2006,appeloffre,initial,2019-09-03,1570201200000.0,2019-10-04,,['31'],,Prestation de transport de courrier entre les Caisses d'Allocations Familiales de la Région Occitanie,CAF de Toulouse,,M. PITEAU Jean-Charles,,,24 Rue Riquet,31046,Toulouse,,05-61-99-75-70,,,marchescaf31@caftoulouse.cnafmail.fr,,https://meoss.achatpublic.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '4'}","[65, 347]","['Colis', 'Transport']",non,non
19-116694,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-13,,['31'],,acquisition et installation d'un bâtiment modulaire à usage de salles de réunions pour le compte du cnrs-délégation régionale occitanie ouest,C.N.R.S. - Délégation Midi-Pyrénées,,"M. Le Délégué Régional, à l'attention de Marjolaine RIVIERE (Pôle achats)",,,16 avenue Edouard Belin,31055,Toulouse,,05-61-30-60-00,,,marjolaine.riviere@dr14.cnrs.fr,http://www.cnrs.fr,http://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=447237&orgAcronyme=f2h,,,,,,,,,,,[27],['Bâtiments modulaires'],non,non
19-133299,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-26,,['31'],,acquisition et installation d'un bâtiment modulaire à usage de salles de réunions pour le compte du cnrs-délégation régionale occitanie ouest (rectificatif),C.N.R.S. - Délégation Midi-Pyrénées,,"M. Le Délégué Régional, à l'attention de Marjolaine RIVIERE (Pôle achats)",,,16 avenue Edouard Belin,31055,Toulouse,,05-61-30-60-00,,,marjolaine.riviere@dr14.cnrs.fr,http://www.cnrs.fr,http://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=447237&orgAcronyme=f2h,,,,,,,,,,,[27],['Bâtiments modulaires'],non,non
19-128465,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['31'],,prestations de services d'assistance à la mise en place du contrôle interne et de la surveillance des risques pour le service public intégré de rénovation energétique,SPL AREC OCCITANIE,,"Julien Boudet, responsable financier SPIRE",,,11 avenue Parmentier CentralParc 2 4e étage B.P. 22414,31086,Toulouse Cedex 2,,05-62-72-71-00,,,julien.boudet@arec-occitanie.fr,,http://splmpc.achatpublic.com,,,,,,,,,,,"[21, 274]","['Audit', 'Prestations de services']",non,non
19-77082,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-03,,['31'],,périphérique de toulouse et autoroute a 64 - travaux de maintenance des réseaux énergie et fibre optique,DIR Sud-Ouest,,M. le directeur de la DIR Sud-Ouest,,,155 avenue des Arènes Romaines,31300,Toulouse,,,,,bm.dmo.smee.dirso@developpement-durable.gouv.fr,http://www.enroute.sud-ouest.developpement-durable.gouv.fr/,http://www.marches-publics.gouv.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[133],['Fibre optique'],non,non
19-77373,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-03,,['31'],,RN125 - Réparation de la buse de Luscan,DIR Sud-Ouest,,M. le directeur de la DIR Sud-Ouest,,,155 avenue des Arènes Romaines,31300,Toulouse,,,,,bm.dmo.smee.dirso@developpement-durable.gouv.fr,http://www.enroute.sud-ouest.developpement-durable.gouv.fr/,http://www.marches-publics.gouv.fr/,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[252, 255]","[""Ouvrage d'art"", 'Ouvrage hydraulique']",non,non
19-133426,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['31'],,Prestations d'assistance juridique et de représentation en justice pour la Ville de Blagnac,Ville de Blagnac,," CARLES JOSEPH, Maire",,,1 Place des Arts,31700,BLAGNAC,,05-61-71-72-00,,05-61-71-72-73,contact@mairie-blagnac.fr,http://www.mairie-blagnac.fr,http://www.mairie-blagnac.fr/acces-aux-consultations-en-cours.html,,,,,,,,,,,[434],['Assistance juridique'],non,non
19-133229,mapa,cmp2006,appeloffre,initial,2019-09-03,1569510000000.0,2019-09-26,,"['82', '12', '31', '46']",,"Réfection des sanitaires du bât 029 comprenant du GO, plomberie chauffage, menuiseries plafonds, électricité, revêtements céramiques et peinture, dans le bât 026 au camp Lcl Normand à Caylus 82.",MINDEF/SGA/DCSID/ESID Bordeaux,,"M. HOMBOURGER Alain, Etablissement du service d'infrastructure de la défense de Bordeaux",,,Caserne Nansouty 223 rue de Bègles - cs 21152,33068,Bordeaux cedex,,,,,,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[144],['Gros oeuvre'],non,non
19-133196,fns,cmp2006,appeloffre,initial,2019-09-03,1571396400000.0,2019-10-18,,['33'],,Fourniture de carburant et services associés pour les véhicules de la flotte automobile du SDEEG,S.D.E.E.G.,, Philippe Edwige,,,12 rue du Cardinal Richaud,33300,Bordeaux,,05-56-16-10-73,,05-56-16-10-71,marches@sdeeg33.fr,http://sdeeg33.fr,http://sdeeg.e-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[52],"['Carburant, hydrocarbure']",non,non
19-133161,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['33'],,Location de matériels d'écho-endoscopie au profit du CHU de Bordeaux,CHU DE BORDEAUX,," DIRECTEUR LE, Directeur Général",,,12 rue Dubernat,33400,TALENCE,,,,,ugc@chu-bordeaux.fr,https://www.chu-bordeaux.fr,https://www.marches-publics.info,,,,,,,,,,,[185],['Location (matériels)'],non,non
19-133614,fns,cmp2006,appeloffre,initial,2019-09-03,1569834000000.0,2019-10-01,,"['33', '75', '91', '64', '40', '17', '24', '16']",,"Fourniture et livraison de matériel informatique, accessoires et services associés pour le centre de recherche Inria Bordeaux Sud-Ouest",INST NAL RECHERCHE INFORM AUTOMATIQUE,,"Mlle Rigal Marine, Acheteuse",,,200 avenue de la vieille tour,33405,Talence,,,,,,,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[162],['Informatique (matériel)'],non,oui
19-133638,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-09-24,,['34'],,Numéro de la consultation : 19DRER03 CCP Etude relative à la tarification de la restauration scolaire et au système d'aides accordées aux familles,Conseil départemental de l'Hérault,," MESQUIDA Kléber, Président du Conseil départemental",,,"Hôtel du département, Mas d'Alco, 1977 avenue des moulins",34087,MONTPELLIER,,04-67-67-67-67,,,contact@marches-publics.info,http://www.herault.fr,https://commande-publique.herault.fr/,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133572,fns,cmp2006,appeloffre,initial,2019-09-03,1569247200000.0,2019-09-25,,['34'],,Location et maintenance de mini-citadines neuves pour le groupement de commandes de la Ville de Mèze et du C.C.A.S,Ville de Mèze,,M. IGHIL C.,,,Place Aristide Briand BP 28,34140,Mèze,,,,,,https://www.ville-meze.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<LOC xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[474],['Véhicules (location)'],non,non
19-133470,fns,cmp2006,attribution,initial,2019-09-03,,2019-09-17,,['34'],,Acquisition de flexibles de refoulement haute pression,SCE DEPARTEMENTAL INCENDIE ET SECOURS,,"M. BARIOL Patrick, Chef du service des marchés publics",,,"150, rue Supernova",34570,VAILHAUQUES,,334-67-10-34-13,,334-67-10-34-84,marches@sdis34.fr,http://www.sdis34.fr,https://marchespublics-herault.safetender.com,,,,,,,,,,,[217],"[""Matériel de secours et d'incendie""]",non,non
19-133350,dsp,dsp,attribution,initial,2019-09-03,,2019-10-14,,['35'],,concession de service public pour l'exploitation de l'usine de valorisation énergétique (uve) des déchets de rennes métropole,Rennes Métropole,,,,FRH03,4 avenue Henri FRÉVILLE CS93111,35031,RENNES,,(+33) 2-99-86-60-60,,,dechets@rennesmetropole.fr,http://www.metropole.rennes.fr,https://www.megalisbretagne.org,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[249, 406]","['Ordures ménagères (prestations)', 'Délégation de service public']",non,non
19-133623,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['35'],,"ANIMATIONS SUR LE THÈME DE LA MOBILITÉ DURABLE, DANS LE CADRE DU PROJET 'LES PETITS MOBIL'ACTEURS'",Rennes Métropole,, Service Metro et Investissements Transports,,,"4, Avenue Henri Fréville CS 93111",35031,RENNES CEDEX,,02-99-86-64-92,,,investissements-transports@rennesmetropole.fr,http://metropole.rennes.fr/,https://www.megalisbretagne.org,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[347],['Transport'],non,non
19-124839,fns,cmp2006,appeloffre,initial,2019-09-03,1570460400000.0,2019-10-07,,['35'],,extension du centre d'exploitation routier à janzé (35),Département d'Ille et Vilaine,,Le Président,,,1 avenue de la PréfectureCS24218,35042,Rennes,,02-99-02-40-71,,02-99-02-39-03,sandrine.gallet@ille-et-vilaine.fr,,http://marches.megalisbretagne.org,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 57, 61, 63, 74, 105, 144, 222, 264, 270, 299, 308, 319, 341, 360]","['Bâtiment', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Ravalement', 'Revêtements de sols', 'Sanitaire', 'Terrassement', 'Ventilation']",non,oui
19-133209,fns,cmp2006,appeloffre,initial,2019-09-03,1570190400000.0,2019-10-04,,"['22', '29', '35', '56', '44', '49', '50', '53']",,"Travaux de désamiantage et de déconstruction sélective d'une ancienne maison situés 9, Rue de Penthièvre à PENGUILY (22).",Etablissement public foncier Bretagne,,"M. CAVE Romain, Etablissement Public Foncier de Bretagne",,,"72, Boulevard Albert 1er",35207,Rennes cedex 2,,02-99-86-74-42,,02-99-86-79-95,romain.cave@epfbretagne.fr,https://www.epfbretagne.fr/,https://www.megalisbretagne.org/,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[78, 87, 479]","['Curage', 'Démolition', 'Amiante (désamiantage)']",non,oui
19-133393,mapa,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-16,,['35'],,Acquisition et maintenance d'une solution d'émission et de réception GSM indoor,SCE DEPARTEMENTAL INCENDIE ET SECOURS,," Service Commande Publique, SDIS d'Ille-et-Vilaine",,,2 rue du Moulin de Joué - BP 80127,35701,Rennes cedex 7,,,,,,http://www.sapeurs-pompiers35.fr/,,,,,,,,,,,,[454],['Informatique (maintenance serveurs et réseaux)'],non,non
19-131844,fns,cmp2006,appeloffre,initial,2019-09-03,1569859200000.0,2019-09-30,,['36'],,exploitation d'un passage d'eau sur le lac d'eguzon,Conseil Départemental de l'Indre,,"M. Descout Serge, Le Président du Conseil Départemental de l'Indre",,,Place de la victoire et des alliéscs 20639,36020,Châteauroux cédex,,,,,drtpe-smgp@indre.fr,http://www.indre.fr,http://www.achatpublic.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[274],['Prestations de services'],non,non
19-133540,fns,cmp2006,appeloffre,initial,2019-09-03,1568991600000.0,2019-09-20,,['37'],,Démolition de bâtiments sur le site de Bretonneau,CENTRE HOSPITALIER REG UNVT DE TOURS,,Mme GUIGNERY Laure ( mail : l.guignery@chu-tours.fr),,,Direction des Achats et des Approvisionnements,37044,Tours cedex 9,,02-47-47-86-33,,02-47-47-60-81,cellule.marches@chu-tours.fr,http://www.chu-tours.fr,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[87],['Démolition'],non,non
19-133462,fns,cmp2006,appeloffre,initial,2019-09-03,1569596400000.0,2019-09-27,,['37'],,Location de places de parking au profit des professionnels de l'hôpital Clocheville,CENTRE HOSPITALIER REG UNVT DE TOURS,,Mme Fanny AVENET (mail : f.avenet@chu-tours.fr),,,Direction des Achats et des Approvisionnements,37044,Tours cedex 9,,02-34-38-94-79,,02-47-47-60-81,cellule.marches@chu-tours.fr,http://www.chu-tours.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '20'}",[274],['Prestations de services'],non,non
19-132519,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-03,,['37'],,Accord cadre pour une assistance à maîtrise d'ouvrage relative aux ouvrages d'art métropolitains,Tours Métropole Val de Loire,,,,FRB04,"60, Avenue Marcel Dassault CS 30651",37206,TOURS CEDEX 3,,,,,commandepublique@tours-metropole.fr,http://tours-metropole.fr,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}","[252, 433]","[""Ouvrage d'art"", ""Assistance à maîtrise d'ouvrage""]",non,non
19-133276,mapa,cmp2006,appeloffre,initial,2019-09-03,1569409200000.0,2019-09-25,,['38'],,CONSEIL DE GESTION DE LA DETTE,COMMUNE DE GRENOBLE,, le Maire,,,11 Boulevard Jean Pain,38021,GRENOBLE,,,,,marches.publics@grenoble.fr,http://www.grenoble.fr,http://agysoft.marches-publics.info,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133302,fns,cmp2006,appeloffre,initial,2019-09-03,1569409200000.0,2019-09-25,,['38'],,Maintenance des ouvrages hydrauliques de protection mobiles contre les crues - Isère en amont de Grenoble - période 2019/2023,SYND MIXTE BASSINS HYDRAULIQUES ISERE,," Mulyk Fabien, Président",,,"9 rue Jean Bocq, CS41096",38022,Grenoble,,,,,correspondre@aws-france.com,http://symbhi.fr/,http://agysoft.marches-publics.info/,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[196, 255]","['Maintenance', 'Ouvrage hydraulique']",non,non
19-133599,mapa,cmp2006,appeloffre,initial,2019-09-03,1569420000000.0,2019-09-25,,['38'],,N°2019-ETU-DAJM-0327 - Assistance à maîtrise d'ouvrage pour la plateforme territoriale de captation du parc privé,GRENOBLE-ALPES METROPOLE,, le Président,,,"Le Forum - CS 50053, 3 rue Malakoff",38031,GRENOBLE,,,,,correspondre@aws-france.com,http://www.lametro.fr,http://agysoft.marches-publics.info,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[433],"[""Assistance à maîtrise d'ouvrage""]",non,non
